,RIO AU Equity,RIO AU Equity,RIO AU Equity,RIO AU Equity,RIO AU Equity
1980-05-18,,0.2032,0.1841,0.194,
1980-05-19,,0.2032,0.1841,0.194,
1980-05-20,,0.2032,0.1841,0.194,
1980-05-21,,0.2032,0.1841,0.194,
1980-05-22,,0.2032,0.1841,0.194,
1980-05-23,,0.2032,0.1841,0.194,
1980-05-24,,0.2032,0.1841,0.194,
1980-05-25,,0.2032,0.1841,0.194,
1980-05-26,,0.2032,0.1841,0.194,
1980-05-27,,0.2032,0.1841,0.194,
1980-05-28,,0.2032,0.1841,0.194,
1980-05-29,,0.2032,0.1841,0.194,
1980-05-30,,0.2185,0.1841,0.2147,
1980-05-31,,0.2185,0.1841,0.2147,
1980-06-01,,0.2185,0.1841,0.2147,
1980-06-02,,0.2185,0.1841,0.2147,
1980-06-03,,0.2185,0.1841,0.2147,
1980-06-04,,0.2185,0.1841,0.2147,
1980-06-05,,0.2185,0.1841,0.2147,
1980-06-06,,0.2185,0.1841,0.2147,
1980-06-07,,0.2185,0.1841,0.2147,
1980-06-08,,0.2185,0.1841,0.2147,
1980-06-09,,0.2185,0.1841,0.2147,
1980-06-10,,0.2185,0.1841,0.2147,
1980-06-11,,0.2185,0.1841,0.2147,
1980-06-12,,0.2185,0.1841,0.2147,
1980-06-13,,0.2185,0.1841,0.2147,
1980-06-14,,0.2185,0.1841,0.2147,
1980-06-15,,0.2185,0.1841,0.2147,
1980-06-16,,0.2185,0.1841,0.2147,
1980-06-17,,0.2185,0.1841,0.2147,
1980-06-18,,0.2185,0.1841,0.2147,
1980-06-19,,0.2185,0.1841,0.2147,
1980-06-20,,0.2185,0.1841,0.2147,
1980-06-21,,0.2185,0.1841,0.2147,
1980-06-22,,0.2185,0.1841,0.2147,
1980-06-23,,0.2185,0.1841,0.2147,
1980-06-24,,0.2185,0.1841,0.2147,
1980-06-25,,0.2185,0.1841,0.2147,
1980-06-26,,0.2185,0.1841,0.2147,
1980-06-27,,0.2185,0.1841,0.2147,
1980-06-28,,0.2185,0.1841,0.2147,
1980-06-29,,0.2185,0.1841,0.2147,
1980-06-30,,0.2185,0.2032,0.2085,
1980-07-01,,0.2185,0.2032,0.2085,
1980-07-02,,0.2185,0.2032,0.2085,
1980-07-03,,0.2185,0.2032,0.2085,
1980-07-04,,0.2185,0.2032,0.2085,
1980-07-05,,0.2185,0.2032,0.2085,
1980-07-06,,0.2185,0.2032,0.2085,
1980-07-07,,0.2185,0.2032,0.2085,
1980-07-08,,0.2185,0.2032,0.2085,
1980-07-09,,0.2185,0.2032,0.2085,
1980-07-10,,0.2185,0.2032,0.2085,
1980-07-11,,0.2185,0.2032,0.2085,
1980-07-12,,0.2185,0.2032,0.2085,
1980-07-13,,0.2185,0.2032,0.2085,
1980-07-14,,0.2185,0.2032,0.2085,
1980-07-15,,0.2185,0.2032,0.2085,
1980-07-16,,0.2185,0.2032,0.2085,
1980-07-17,,0.2185,0.2032,0.2085,
1980-07-18,,0.2185,0.2032,0.2085,
1980-07-19,,0.2185,0.2032,0.2085,
1980-07-20,,0.2185,0.2032,0.2085,
1980-07-21,,0.2185,0.2032,0.2085,
1980-07-22,,0.2185,0.2032,0.2085,
1980-07-23,,0.2185,0.2032,0.2085,
1980-07-24,,0.2185,0.2032,0.2085,
1980-07-25,,0.2185,0.2032,0.2085,
1980-07-26,,0.2185,0.2032,0.2085,
1980-07-27,,0.2185,0.2032,0.2085,
1980-07-28,,0.2185,0.2032,0.2085,
1980-07-29,,0.2185,0.2032,0.2085,
1980-07-30,,0.2185,0.2032,0.2085,
1980-07-31,,0.2169,0.1993,0.2054,
1980-08-01,,0.2169,0.1993,0.2054,
1980-08-02,,0.2169,0.1993,0.2054,
1980-08-03,,0.2169,0.1993,0.2054,
1980-08-04,,0.2169,0.1993,0.2054,
1980-08-05,,0.2169,0.1993,0.2054,
1980-08-06,,0.2169,0.1993,0.2054,
1980-08-07,,0.2169,0.1993,0.2054,
1980-08-08,,0.2169,0.1993,0.2054,
1980-08-09,,0.2169,0.1993,0.2054,
1980-08-10,,0.2169,0.1993,0.2054,
1980-08-11,,0.2169,0.1993,0.2054,
1980-08-12,,0.2169,0.1993,0.2054,
1980-08-13,,0.2169,0.1993,0.2054,
1980-08-14,,0.2169,0.1993,0.2054,
1980-08-15,,0.2169,0.1993,0.2054,
1980-08-16,,0.2169,0.1993,0.2054,
1980-08-17,,0.2169,0.1993,0.2054,
1980-08-18,,0.2169,0.1993,0.2054,
1980-08-19,,0.2169,0.1993,0.2054,
1980-08-20,,0.2169,0.1993,0.2054,
1980-08-21,,0.2169,0.1993,0.2054,
1980-08-22,,0.2169,0.1993,0.2054,
1980-08-23,,0.2169,0.1993,0.2054,
1980-08-24,,0.2169,0.1993,0.2054,
1980-08-25,,0.2169,0.1993,0.2054,
1980-08-26,,0.2169,0.1993,0.2054,
1980-08-27,,0.2169,0.1993,0.2054,
1980-08-28,,0.2169,0.1993,0.2054,
1980-08-29,,0.2493,0.2032,0.2377,
1980-08-30,,0.2493,0.2032,0.2377,
1980-08-31,,0.2493,0.2032,0.2377,
1980-09-01,,0.2493,0.2032,0.2377,
1980-09-02,,0.2493,0.2032,0.2377,
1980-09-03,,0.2493,0.2032,0.2377,
1980-09-04,,0.2493,0.2032,0.2377,
1980-09-05,,0.2493,0.2032,0.2377,
1980-09-06,,0.2493,0.2032,0.2377,
1980-09-07,,0.2493,0.2032,0.2377,
1980-09-08,,0.2493,0.2032,0.2377,
1980-09-09,,0.2493,0.2032,0.2377,
1980-09-10,,0.2493,0.2032,0.2377,
1980-09-11,,0.2493,0.2032,0.2377,
1980-09-12,,0.2493,0.2032,0.2377,
1980-09-13,,0.2493,0.2032,0.2377,
1980-09-14,,0.2493,0.2032,0.2377,
1980-09-15,,0.2493,0.2032,0.2377,
1980-09-16,,0.2493,0.2032,0.2377,
1980-09-17,,0.2493,0.2032,0.2377,
1980-09-18,,0.2493,0.2032,0.2377,
1980-09-19,,0.2493,0.2032,0.2377,
1980-09-20,,0.2493,0.2032,0.2377,
1980-09-21,,0.2493,0.2032,0.2377,
1980-09-22,,0.2493,0.2032,0.2377,
1980-09-23,,0.2493,0.2032,0.2377,
1980-09-24,,0.2493,0.2032,0.2377,
1980-09-25,,0.2493,0.2032,0.2377,
1980-09-26,,0.2493,0.2032,0.2377,
1980-09-27,,0.2493,0.2032,0.2377,
1980-09-28,,0.2493,0.2032,0.2377,
1980-09-29,,0.2493,0.2032,0.2377,
1980-09-30,,0.2605,0.234,0.2565,
1980-10-01,,0.2605,0.234,0.2565,
1980-10-02,,0.2605,0.234,0.2565,
1980-10-03,,0.2605,0.234,0.2565,
1980-10-04,,0.2605,0.234,0.2565,
1980-10-05,,0.2605,0.234,0.2565,
1980-10-06,,0.2605,0.234,0.2565,
1980-10-07,,0.2605,0.234,0.2565,
1980-10-08,,0.2605,0.234,0.2565,
1980-10-09,,0.2605,0.234,0.2565,
1980-10-10,,0.2605,0.234,0.2565,
1980-10-11,,0.2605,0.234,0.2565,
1980-10-12,,0.2605,0.234,0.2565,
1980-10-13,,0.2605,0.234,0.2565,
1980-10-14,,0.2605,0.234,0.2565,
1980-10-15,,0.2605,0.234,0.2565,
1980-10-16,,0.2605,0.234,0.2565,
1980-10-17,,0.2605,0.234,0.2565,
1980-10-18,,0.2605,0.234,0.2565,
1980-10-19,,0.2605,0.234,0.2565,
1980-10-20,,0.2605,0.234,0.2565,
1980-10-21,,0.2605,0.234,0.2565,
1980-10-22,,0.2605,0.234,0.2565,
1980-10-23,,0.2605,0.234,0.2565,
1980-10-24,,0.2605,0.234,0.2565,
1980-10-25,,0.2605,0.234,0.2565,
1980-10-26,,0.2605,0.234,0.2565,
1980-10-27,,0.2605,0.234,0.2565,
1980-10-28,,0.2605,0.234,0.2565,
1980-10-29,,0.2605,0.234,0.2565,
1980-10-30,,0.2605,0.234,0.2565,
1980-10-31,,0.2802,0.2289,0.2706,
1980-11-01,,0.2802,0.2289,0.2706,
1980-11-02,,0.2802,0.2289,0.2706,
1980-11-03,,0.2802,0.2289,0.2706,
1980-11-04,,0.2802,0.2289,0.2706,
1980-11-05,,0.2802,0.2289,0.2706,
1980-11-06,,0.2802,0.2289,0.2706,
1980-11-07,,0.2802,0.2289,0.2706,
1980-11-08,,0.2802,0.2289,0.2706,
1980-11-09,,0.2802,0.2289,0.2706,
1980-11-10,,0.2802,0.2289,0.2706,
1980-11-11,,0.2802,0.2289,0.2706,
1980-11-12,,0.2802,0.2289,0.2706,
1980-11-13,,0.2802,0.2289,0.2706,
1980-11-14,,0.2802,0.2289,0.2706,
1980-11-15,,0.2802,0.2289,0.2706,
1980-11-16,,0.2802,0.2289,0.2706,
1980-11-17,,0.2802,0.2289,0.2706,
1980-11-18,,0.2802,0.2289,0.2706,
1980-11-19,,0.2802,0.2289,0.2706,
1980-11-20,,0.2802,0.2289,0.2706,
1980-11-21,,0.2802,0.2289,0.2706,
1980-11-22,,0.2802,0.2289,0.2706,
1980-11-23,,0.2802,0.2289,0.2706,
1980-11-24,,0.2802,0.2289,0.2706,
1980-11-25,,0.2802,0.2289,0.2706,
1980-11-26,,0.2802,0.2289,0.2706,
1980-11-27,,0.2802,0.2289,0.2706,
1980-11-28,,0.2684,0.2368,0.2486,
1980-11-29,,0.2684,0.2368,0.2486,
1980-11-30,,0.2684,0.2368,0.2486,
1980-12-01,,0.2684,0.2368,0.2486,
1980-12-02,,0.2684,0.2368,0.2486,
1980-12-03,,0.2684,0.2368,0.2486,
1980-12-04,,0.2684,0.2368,0.2486,
1980-12-05,,0.2684,0.2368,0.2486,
1980-12-06,,0.2684,0.2368,0.2486,
1980-12-07,,0.2684,0.2368,0.2486,
1980-12-08,,0.2684,0.2368,0.2486,
1980-12-09,,0.2684,0.2368,0.2486,
1980-12-10,,0.2684,0.2368,0.2486,
1980-12-11,,0.2684,0.2368,0.2486,
1980-12-12,,0.2684,0.2368,0.2486,
1980-12-13,,0.2684,0.2368,0.2486,
1980-12-14,,0.2684,0.2368,0.2486,
1980-12-15,,0.2684,0.2368,0.2486,
1980-12-16,,0.2684,0.2368,0.2486,
1980-12-17,,0.2684,0.2368,0.2486,
1980-12-18,,0.2684,0.2368,0.2486,
1980-12-19,,0.2684,0.2368,0.2486,
1980-12-20,,0.2684,0.2368,0.2486,
1980-12-21,,0.2684,0.2368,0.2486,
1980-12-22,,0.2684,0.2368,0.2486,
1980-12-23,,0.2684,0.2368,0.2486,
1980-12-24,,0.2684,0.2368,0.2486,
1980-12-25,,0.2684,0.2368,0.2486,
1980-12-26,,0.2684,0.2368,0.2486,
1980-12-27,,0.2684,0.2368,0.2486,
1980-12-28,,0.2684,0.2368,0.2486,
1980-12-29,,0.2684,0.2368,0.2486,
1980-12-30,,0.2684,0.2368,0.2486,
1980-12-31,,0.2502,0.213,0.2368,
1981-01-01,,0.2502,0.213,0.2368,
1981-01-02,,0.2502,0.213,0.2368,
1981-01-03,,0.2502,0.213,0.2368,
1981-01-04,,0.2502,0.213,0.2368,
1981-01-05,,0.2502,0.213,0.2368,
1981-01-06,,0.2502,0.213,0.2368,
1981-01-07,,0.2502,0.213,0.2368,
1981-01-08,,0.2502,0.213,0.2368,
1981-01-09,,0.2502,0.213,0.2368,
1981-01-10,,0.2502,0.213,0.2368,
1981-01-11,,0.2502,0.213,0.2368,
1981-01-12,,0.2502,0.213,0.2368,
1981-01-13,,0.2502,0.213,0.2368,
1981-01-14,,0.2502,0.213,0.2368,
1981-01-15,,0.2502,0.213,0.2368,
1981-01-16,,0.2502,0.213,0.2368,
1981-01-17,,0.2502,0.213,0.2368,
1981-01-18,,0.2502,0.213,0.2368,
1981-01-19,,0.2502,0.213,0.2368,
1981-01-20,,0.2502,0.213,0.2368,
1981-01-21,,0.2502,0.213,0.2368,
1981-01-22,,0.2502,0.213,0.2368,
1981-01-23,,0.2502,0.213,0.2368,
1981-01-24,,0.2502,0.213,0.2368,
1981-01-25,,0.2502,0.213,0.2368,
1981-01-26,,0.2502,0.213,0.2368,
1981-01-27,,0.2502,0.213,0.2368,
1981-01-28,,0.2502,0.213,0.2368,
1981-01-29,,0.2502,0.213,0.2368,
1981-01-30,,0.2446,0.1854,0.1854,
1981-01-31,,0.2446,0.1854,0.1854,
1981-02-01,,0.2446,0.1854,0.1854,
1981-02-02,,0.2446,0.1854,0.1854,
1981-02-03,,0.2446,0.1854,0.1854,
1981-02-04,,0.2446,0.1854,0.1854,
1981-02-05,,0.2446,0.1854,0.1854,
1981-02-06,,0.2446,0.1854,0.1854,
1981-02-07,,0.2446,0.1854,0.1854,
1981-02-08,,0.2446,0.1854,0.1854,
1981-02-09,,0.2446,0.1854,0.1854,
1981-02-10,,0.2446,0.1854,0.1854,
1981-02-11,,0.2446,0.1854,0.1854,
1981-02-12,,0.2446,0.1854,0.1854,
1981-02-13,,0.2446,0.1854,0.1854,
1981-02-14,,0.2446,0.1854,0.1854,
1981-02-15,,0.2446,0.1854,0.1854,
1981-02-16,,0.2446,0.1854,0.1854,
1981-02-17,,0.2446,0.1854,0.1854,
1981-02-18,,0.2446,0.1854,0.1854,
1981-02-19,,0.2446,0.1854,0.1854,
1981-02-20,,0.2446,0.1854,0.1854,
1981-02-21,,0.2446,0.1854,0.1854,
1981-02-22,,0.2446,0.1854,0.1854,
1981-02-23,,0.2446,0.1854,0.1854,
1981-02-24,,0.2446,0.1854,0.1854,
1981-02-25,,0.2446,0.1854,0.1854,
1981-02-26,,0.2446,0.1854,0.1854,
1981-02-27,,0.1973,0.1697,0.1717,
1981-02-28,,0.1973,0.1697,0.1717,
1981-03-01,,0.1973,0.1697,0.1717,
1981-03-02,,0.1973,0.1697,0.1717,
1981-03-03,,0.1973,0.1697,0.1717,
1981-03-04,,0.1973,0.1697,0.1717,
1981-03-05,,0.1973,0.1697,0.1717,
1981-03-06,,0.1973,0.1697,0.1717,
1981-03-07,,0.1973,0.1697,0.1717,
1981-03-08,,0.1973,0.1697,0.1717,
1981-03-09,,0.1973,0.1697,0.1717,
1981-03-10,,0.1973,0.1697,0.1717,
1981-03-11,,0.1973,0.1697,0.1717,
1981-03-12,,0.1973,0.1697,0.1717,
1981-03-13,,0.1973,0.1697,0.1717,
1981-03-14,,0.1973,0.1697,0.1717,
1981-03-15,,0.1973,0.1697,0.1717,
1981-03-16,,0.1973,0.1697,0.1717,
1981-03-17,,0.1973,0.1697,0.1717,
1981-03-18,,0.1973,0.1697,0.1717,
1981-03-19,,0.1973,0.1697,0.1717,
1981-03-20,,0.1973,0.1697,0.1717,
1981-03-21,,0.1973,0.1697,0.1717,
1981-03-22,,0.1973,0.1697,0.1717,
1981-03-23,,0.1973,0.1697,0.1717,
1981-03-24,,0.1973,0.1697,0.1717,
1981-03-25,,0.1973,0.1697,0.1717,
1981-03-26,,0.1973,0.1697,0.1717,
1981-03-27,,0.1973,0.1697,0.1717,
1981-03-28,,0.1973,0.1697,0.1717,
1981-03-29,,0.1973,0.1697,0.1717,
1981-03-30,,0.1973,0.1697,0.1717,
1981-03-31,,0.1953,0.1598,0.1914,
1981-04-01,,0.1953,0.1598,0.1914,
1981-04-02,,0.1953,0.1598,0.1914,
1981-04-03,,0.1953,0.1598,0.1914,
1981-04-04,,0.1953,0.1598,0.1914,
1981-04-05,,0.1953,0.1598,0.1914,
1981-04-06,,0.1953,0.1598,0.1914,
1981-04-07,,0.1953,0.1598,0.1914,
1981-04-08,,0.1953,0.1598,0.1914,
1981-04-09,,0.1953,0.1598,0.1914,
1981-04-10,,0.1953,0.1598,0.1914,
1981-04-11,,0.1953,0.1598,0.1914,
1981-04-12,,0.1953,0.1598,0.1914,
1981-04-13,,0.1953,0.1598,0.1914,
1981-04-14,,0.1953,0.1598,0.1914,
1981-04-15,,0.1953,0.1598,0.1914,
1981-04-16,,0.1953,0.1598,0.1914,
1981-04-17,,0.1953,0.1598,0.1914,
1981-04-18,,0.1953,0.1598,0.1914,
1981-04-19,,0.1953,0.1598,0.1914,
1981-04-20,,0.1953,0.1598,0.1914,
1981-04-21,,0.1953,0.1598,0.1914,
1981-04-22,,0.1953,0.1598,0.1914,
1981-04-23,,0.1953,0.1598,0.1914,
1981-04-24,,0.1953,0.1598,0.1914,
1981-04-25,,0.1953,0.1598,0.1914,
1981-04-26,,0.1953,0.1598,0.1914,
1981-04-27,,0.1953,0.1598,0.1914,
1981-04-28,,0.1953,0.1598,0.1914,
1981-04-29,,0.1953,0.1598,0.1914,
1981-04-30,,0.1914,0.1736,0.1815,
1981-05-01,,0.1914,0.1736,0.1815,
1981-05-02,,0.1914,0.1736,0.1815,
1981-05-03,,0.1914,0.1736,0.1815,
1981-05-04,,0.1914,0.1736,0.1815,
1981-05-05,,0.1914,0.1736,0.1815,
1981-05-06,,0.1914,0.1736,0.1815,
1981-05-07,,0.1914,0.1736,0.1815,
1981-05-08,,0.1914,0.1736,0.1815,
1981-05-09,,0.1914,0.1736,0.1815,
1981-05-10,,0.1914,0.1736,0.1815,
1981-05-11,,0.1914,0.1736,0.1815,
1981-05-12,,0.1914,0.1736,0.1815,
1981-05-13,,0.1914,0.1736,0.1815,
1981-05-14,,0.1914,0.1736,0.1815,
1981-05-15,,0.1914,0.1736,0.1815,
1981-05-16,,0.1914,0.1736,0.1815,
1981-05-17,,0.1914,0.1736,0.1815,
1981-05-18,,0.1914,0.1736,0.1815,
1981-05-19,,0.1914,0.1736,0.1815,
1981-05-20,,0.1914,0.1736,0.1815,
1981-05-21,,0.1914,0.1736,0.1815,
1981-05-22,,0.1914,0.1736,0.1815,
1981-05-23,,0.1914,0.1736,0.1815,
1981-05-24,,0.1914,0.1736,0.1815,
1981-05-25,,0.1914,0.1736,0.1815,
1981-05-26,,0.1914,0.1736,0.1815,
1981-05-27,,0.1914,0.1736,0.1815,
1981-05-28,,0.1914,0.1736,0.1815,
1981-05-29,,0.1933,0.1657,0.1755,
1981-05-30,,0.1933,0.1657,0.1755,
1981-05-31,,0.1933,0.1657,0.1755,
1981-06-01,,0.1933,0.1657,0.1755,
1981-06-02,,0.1933,0.1657,0.1755,
1981-06-03,,0.1933,0.1657,0.1755,
1981-06-04,,0.1933,0.1657,0.1755,
1981-06-05,,0.1933,0.1657,0.1755,
1981-06-06,,0.1933,0.1657,0.1755,
1981-06-07,,0.1933,0.1657,0.1755,
1981-06-08,,0.1933,0.1657,0.1755,
1981-06-09,,0.1933,0.1657,0.1755,
1981-06-10,,0.1933,0.1657,0.1755,
1981-06-11,,0.1933,0.1657,0.1755,
1981-06-12,,0.1933,0.1657,0.1755,
1981-06-13,,0.1933,0.1657,0.1755,
1981-06-14,,0.1933,0.1657,0.1755,
1981-06-15,,0.1933,0.1657,0.1755,
1981-06-16,,0.1933,0.1657,0.1755,
1981-06-17,,0.1933,0.1657,0.1755,
1981-06-18,,0.1933,0.1657,0.1755,
1981-06-19,,0.1933,0.1657,0.1755,
1981-06-20,,0.1933,0.1657,0.1755,
1981-06-21,,0.1933,0.1657,0.1755,
1981-06-22,,0.1933,0.1657,0.1755,
1981-06-23,,0.1933,0.1657,0.1755,
1981-06-24,,0.1933,0.1657,0.1755,
1981-06-25,,0.1933,0.1657,0.1755,
1981-06-26,,0.1933,0.1657,0.1755,
1981-06-27,,0.1933,0.1657,0.1755,
1981-06-28,,0.1933,0.1657,0.1755,
1981-06-29,,0.1933,0.1657,0.1755,
1981-06-30,,0.1894,0.1717,0.1736,
1981-07-01,,0.1894,0.1717,0.1736,
1981-07-02,,0.1894,0.1717,0.1736,
1981-07-03,,0.1894,0.1717,0.1736,
1981-07-04,,0.1894,0.1717,0.1736,
1981-07-05,,0.1894,0.1717,0.1736,
1981-07-06,,0.1894,0.1717,0.1736,
1981-07-07,,0.1894,0.1717,0.1736,
1981-07-08,,0.1894,0.1717,0.1736,
1981-07-09,,0.1894,0.1717,0.1736,
1981-07-10,,0.1894,0.1717,0.1736,
1981-07-11,,0.1894,0.1717,0.1736,
1981-07-12,,0.1894,0.1717,0.1736,
1981-07-13,,0.1894,0.1717,0.1736,
1981-07-14,,0.1894,0.1717,0.1736,
1981-07-15,,0.1894,0.1717,0.1736,
1981-07-16,,0.1894,0.1717,0.1736,
1981-07-17,,0.1894,0.1717,0.1736,
1981-07-18,,0.1894,0.1717,0.1736,
1981-07-19,,0.1894,0.1717,0.1736,
1981-07-20,,0.1894,0.1717,0.1736,
1981-07-21,,0.1894,0.1717,0.1736,
1981-07-22,,0.1894,0.1717,0.1736,
1981-07-23,,0.1894,0.1717,0.1736,
1981-07-24,,0.1894,0.1717,0.1736,
1981-07-25,,0.1894,0.1717,0.1736,
1981-07-26,,0.1894,0.1717,0.1736,
1981-07-27,,0.1894,0.1717,0.1736,
1981-07-28,,0.1894,0.1717,0.1736,
1981-07-29,,0.1894,0.1717,0.1736,
1981-07-30,,0.1894,0.1717,0.1736,
1981-07-31,,0.1736,0.1538,0.1579,
1981-08-01,,0.1736,0.1538,0.1579,
1981-08-02,,0.1736,0.1538,0.1579,
1981-08-03,,0.1736,0.1538,0.1579,
1981-08-04,,0.1736,0.1538,0.1579,
