,NGVT US Equity,NGVT US Equity,NGVT US Equity,NGVT US Equity,NGVT US Equity
2023-01-25,81.25,81.435,78.7,78.76,158994.0
2023-01-26,78.76,80.33,78.7,80.23,108725.0
2023-01-27,80.0,80.87,79.49,80.39,96868.0
2023-01-28,80.0,80.87,79.49,80.39,96868.0
2023-01-29,80.0,80.87,79.49,80.39,96868.0
2023-01-30,79.8,80.51,79.19,79.27,150008.0
2023-01-31,79.82,82.49,79.14,82.44,274674.0
2023-02-01,81.89,83.98,81.42,82.87,182536.0
2023-02-02,84.74,87.15,84.39,87.0,239735.0
2023-02-03,86.02,87.33,85.67,86.93,278448.0
2023-02-04,86.02,87.33,85.67,86.93,278448.0
2023-02-05,86.02,87.33,85.67,86.93,278448.0
2023-02-06,86.46,86.93,85.64,86.74,196423.0
2023-02-07,86.05,89.59,85.835,89.49,261059.0
2023-02-08,88.36,89.34,87.83,88.36,413998.0
2023-02-09,89.17,89.27,86.44,86.58,242371.0
2023-02-10,85.86,87.965,85.72,87.81,139365.0
2023-02-11,85.86,87.965,85.72,87.81,139365.0
2023-02-12,85.86,87.965,85.72,87.81,139365.0
2023-02-13,87.74,89.565,87.31,88.86,295313.0
2023-02-14,88.52,90.73,88.42,89.69,336662.0
2023-02-15,88.9,90.48,88.525,90.38,167909.0
2023-02-16,88.73,90.78,88.175,89.67,168289.0
2023-02-17,89.57,90.81,89.06,90.75,185847.0
2023-02-18,89.57,90.81,89.06,90.75,185847.0
2023-02-19,89.57,90.81,89.06,90.75,185847.0
2023-02-20,89.57,90.81,89.06,90.75,185847.0
2023-02-21,89.97,89.97,86.33,86.88,224342.0
2023-02-22,86.93,87.89,86.23,87.09,140891.0
2023-02-23,87.21,88.43,86.54,88.06,155164.0
2023-02-24,86.27,88.79,86.225,88.56,165416.0
2023-02-25,86.27,88.79,86.225,88.56,165416.0
2023-02-26,86.27,88.79,86.225,88.56,165416.0
2023-02-27,89.2,89.92,87.7,87.81,300418.0
2023-02-28,83.74,84.44,78.97,82.56,896937.0
2023-03-01,82.29,83.49,81.61,83.42,426601.0
2023-03-02,81.72,83.105,81.47,81.54,358190.0
2023-03-03,82.42,82.455,80.39,81.69,312579.0
2023-03-04,82.42,82.455,80.39,81.69,312579.0
2023-03-05,82.42,82.455,80.39,81.69,312579.0
2023-03-06,81.34,81.83,80.5,81.25,259238.0
2023-03-07,81.0,81.5,78.42,78.78,376784.0
2023-03-08,78.94,79.02,77.23,77.74,241874.0
2023-03-09,78.18,78.3354,75.3,75.46,346219.0
2023-03-10,75.06,75.06,70.54,71.42,418264.0
2023-03-11,75.06,75.06,70.54,71.42,418264.0
2023-03-12,75.06,75.06,70.54,71.42,418264.0
2023-03-13,69.88,70.61,68.08,69.76,327403.0
2023-03-14,72.42,72.45,70.26,71.72,391250.0
2023-03-15,69.18,71.52,68.535,71.36,537206.0
2023-03-16,70.24,73.79,70.055,72.43,396430.0
2023-03-17,71.98,71.98,68.59,68.89,450773.0
2023-03-18,71.98,71.98,68.59,68.89,450773.0
2023-03-19,71.98,71.98,68.59,68.89,450773.0
2023-03-20,69.58,70.8,68.93,70.65,221810.0
2023-03-21,72.4,73.07,72.12,72.41,156011.0
2023-03-22,71.72,72.7,70.3,70.36,140888.0
2023-03-23,70.54,71.47,68.57,69.53,285155.0
2023-03-24,68.54,69.18,67.52,69.09,299057.0
2023-03-25,68.54,69.18,67.52,69.09,299057.0
2023-03-26,68.54,69.18,67.52,69.09,299057.0
2023-03-27,70.29,70.45,69.165,69.78,265353.0
2023-03-28,69.21,69.46,68.42,68.71,336842.0
2023-03-29,69.8,70.47,69.3,69.89,238350.0
2023-03-30,70.67,71.31,69.7,69.85,324107.0
2023-03-31,70.32,71.695,70.28,71.52,321863.0
2023-04-01,70.32,71.695,70.28,71.52,321863.0
2023-04-02,70.32,71.695,70.28,71.52,321863.0
2023-04-03,71.92,72.415,70.47,71.2,236837.0
2023-04-04,71.42,71.42,69.67,70.3,313632.0
2023-04-05,69.64,70.74,69.485,70.67,262523.0
2023-04-06,70.75,70.805,69.27,69.56,386800.0
2023-04-07,70.75,70.805,69.27,69.56,386800.0
2023-04-08,70.75,70.805,69.27,69.56,386800.0
2023-04-09,70.75,70.805,69.27,69.56,386800.0
2023-04-10,69.13,71.88,69.13,71.51,540259.0
2023-04-11,71.98,73.55,71.865,73.21,239003.0
2023-04-12,74.14,74.47,72.17,72.68,211341.0
2023-04-13,73.06,74.02,72.49,74.01,191134.0
2023-04-14,74.15,74.74,72.01,72.72,192227.0
2023-04-15,74.15,74.74,72.01,72.72,192227.0
2023-04-16,74.15,74.74,72.01,72.72,192227.0
2023-04-17,72.62,72.91,71.965,72.73,203249.0
2023-04-18,73.27,73.425,71.235,71.96,183269.0
2023-04-19,71.74,72.03,71.275,71.85,183528.0
2023-04-20,71.05,71.88,70.54,71.42,164384.0
2023-04-21,71.42,71.78,70.53,71.22,179231.0
2023-04-22,71.42,71.78,70.53,71.22,179231.0
2023-04-23,71.42,71.78,70.53,71.22,179231.0
2023-04-24,71.51,72.41,71.51,72.35,165482.0
2023-04-25,71.21,71.39,69.91,69.91,172454.0
2023-04-26,68.86,70.06,68.86,69.38,241099.0
2023-04-27,69.51,70.82,69.39,70.8,173716.0
2023-04-28,70.43,72.33,70.43,71.74,192292.0
2023-04-29,70.43,72.33,70.43,71.74,192292.0
2023-04-30,70.43,72.33,70.43,71.74,192292.0
2023-05-01,71.9,72.76,71.01,71.59,183517.0
2023-05-02,71.05,71.05,69.0,70.3,234277.0
2023-05-03,70.06,72.41,70.06,70.44,291364.0
2023-05-04,66.72,68.11,59.5,64.4,813004.0
2023-05-05,63.66,63.99,60.16,60.57,476504.0
2023-05-06,63.66,63.99,60.16,60.57,476504.0
2023-05-07,63.66,63.99,60.16,60.57,476504.0
2023-05-08,60.61,61.49,58.92,59.11,401376.0
2023-05-09,58.43,59.29,57.52,57.99,484595.0
2023-05-10,59.0,59.0,55.75,56.51,546258.0
2023-05-11,55.87,56.37,54.99,56.35,478988.0
2023-05-12,56.56,56.56,54.02,54.5,260902.0
2023-05-13,56.56,56.56,54.02,54.5,260902.0
2023-05-14,56.56,56.56,54.02,54.5,260902.0
2023-05-15,54.87,55.175,54.13,54.17,328832.0
2023-05-16,53.81,53.81,52.15,52.2,539804.0
2023-05-17,52.42,54.0,52.21,53.3,402354.0
2023-05-18,52.71,52.71,49.38,50.02,844623.0
2023-05-19,50.81,52.095,50.365,50.59,487411.0
2023-05-20,50.81,52.095,50.365,50.59,487411.0
2023-05-21,50.81,52.095,50.365,50.59,487411.0
2023-05-22,51.02,52.23,50.74,51.86,373929.0
2023-05-23,51.24,52.7,51.105,52.26,578772.0
2023-05-24,51.77,52.56,50.92,51.04,449837.0
2023-05-25,50.49,50.83,49.285,50.1,280834.0
2023-05-26,50.06,50.75,49.55,49.86,287513.0
2023-05-27,50.06,50.75,49.55,49.86,287513.0
2023-05-28,50.06,50.75,49.55,49.86,287513.0
2023-05-29,50.06,50.75,49.55,49.86,287513.0
2023-05-30,49.65,50.29,49.08,49.43,284090.0
2023-05-31,49.2,49.595,46.52,47.19,416464.0
2023-06-01,47.19,48.16,47.095,47.45,249734.0
2023-06-02,48.55,51.87,48.35,51.81,435807.0
2023-06-03,48.55,51.87,48.35,51.81,435807.0
2023-06-04,48.55,51.87,48.35,51.81,435807.0
2023-06-05,51.63,52.32,50.58,51.73,528251.0
2023-06-06,51.68,53.93,51.49,53.41,376965.0
2023-06-07,53.67,54.845,53.67,54.69,403627.0
2023-06-08,54.55,54.78,52.83,53.02,349327.0
2023-06-09,52.88,53.94,52.325,53.9,257044.0
2023-06-10,52.88,53.94,52.325,53.9,257044.0
2023-06-11,52.88,53.94,52.325,53.9,257044.0
2023-06-12,53.81,54.63,53.19,53.97,257273.0
2023-06-13,54.46,55.46,53.595,53.92,312533.0
2023-06-14,54.08,54.59,53.015,53.3,332387.0
2023-06-15,53.18,54.105,53.01,53.77,350154.0
2023-06-16,54.22,54.79,53.07,54.39,6937237.0
2023-06-17,54.22,54.79,53.07,54.39,6937237.0
2023-06-18,54.22,54.79,53.07,54.39,6937237.0
2023-06-19,54.22,54.79,53.07,54.39,6937237.0
2023-06-20,53.68,53.973,51.27,51.54,479893.0
2023-06-21,51.0,53.08,50.19,52.92,338879.0
2023-06-22,52.03,53.01,51.34,52.6,365433.0
2023-06-23,51.31,52.51,51.31,51.92,440033.0
2023-06-24,51.31,52.51,51.31,51.92,440033.0
2023-06-25,51.31,52.51,51.31,51.92,440033.0
2023-06-26,51.63,53.495,51.63,53.35,225906.0
2023-06-27,53.46,55.765,53.42,55.52,377493.0
2023-06-28,55.34,56.76,55.34,56.0,363827.0
2023-06-29,55.68,58.65,55.68,58.47,460432.0
2023-06-30,58.63,59.5775,58.08,58.16,333494.0
2023-07-01,58.63,59.5775,58.08,58.16,333494.0
2023-07-02,58.63,59.5775,58.08,58.16,333494.0
2023-07-03,57.82,59.21,57.65,58.62,105973.0
2023-07-04,57.82,59.21,57.65,58.62,105973.0
2023-07-05,57.94,58.64,57.06,57.17,267352.0
2023-07-06,56.79,57.4,55.725,56.73,228764.0
2023-07-07,56.87,59.54,56.87,58.61,189019.0
2023-07-08,56.87,59.54,56.87,58.61,189019.0
2023-07-09,56.87,59.54,56.87,58.61,189019.0
2023-07-10,58.29,59.36,58.07,58.65,232098.0
2023-07-11,59.85,60.21,59.2,60.1,252808.0
2023-07-12,61.31,62.409,60.86,60.89,328123.0
2023-07-13,60.89,61.42,60.27,60.69,182592.0
2023-07-14,60.55,60.69,58.53,60.25,274701.0
2023-07-15,60.55,60.69,58.53,60.25,274701.0
2023-07-16,60.55,60.69,58.53,60.25,274701.0
2023-07-17,60.54,61.08,59.8231,60.54,343567.0
2023-07-18,60.87,62.0,60.845,60.89,597019.0
2023-07-19,61.09,62.02,60.9,61.64,223494.0
2023-07-20,62.02,62.13,61.335,61.49,219112.0
2023-07-21,61.45,61.665,60.65,61.61,229390.0
2023-07-22,61.45,61.665,60.65,61.61,229390.0
2023-07-23,61.45,61.665,60.65,61.61,229390.0
2023-07-24,61.85,62.48,61.09,61.96,207211.0
2023-07-25,62.15,63.23,62.08,62.6,234252.0
2023-07-26,62.59,63.85,62.59,63.08,176490.0
2023-07-27,65.19,66.18,64.26,64.31,386800.0
2023-07-28,64.93,65.22,63.17,63.38,198452.0
2023-07-29,64.93,65.22,63.17,63.38,198452.0
2023-07-30,64.93,65.22,63.17,63.38,198452.0
2023-07-31,63.99,64.76,63.49,64.02,281609.0
2023-08-01,63.62,64.24,62.265,62.37,275681.0
2023-08-02,61.72,62.23,61.06,61.4,214995.0
2023-08-03,57.0,57.36,51.92,55.38,752441.0
2023-08-04,55.3,58.615,55.3,58.16,431839.0
2023-08-05,55.3,58.615,55.3,58.16,431839.0
2023-08-06,55.3,58.615,55.3,58.16,431839.0
2023-08-07,56.72,56.81,53.45,53.63,645756.0
2023-08-08,52.91,55.515,52.72,55.45,478349.0
2023-08-09,55.33,55.39,53.81,53.96,172933.0
2023-08-10,54.03,54.93,53.12,53.38,140006.0
2023-08-11,53.26,53.44,52.525,52.91,201915.0
2023-08-12,53.26,53.44,52.525,52.91,201915.0
2023-08-13,53.26,53.44,52.525,52.91,201915.0
2023-08-14,52.59,52.59,51.14,51.29,222690.0
2023-08-15,50.59,51.1081,49.46,49.64,225094.0
2023-08-16,49.48,50.08,48.31,48.31,153342.0
2023-08-17,48.52,50.695,48.52,50.5,278038.0
2023-08-18,50.07,52.3,49.79,51.65,272471.0
2023-08-19,50.07,52.3,49.79,51.65,272471.0
2023-08-20,50.07,52.3,49.79,51.65,272471.0
2023-08-21,51.56,52.06,50.14,51.05,215630.0
2023-08-22,51.32,52.13,50.89,51.42,147145.0
2023-08-23,51.51,51.53,50.81,50.96,111819.0
2023-08-24,50.62,51.51,50.51,51.4,174798.0
2023-08-25,51.59,52.26,50.83,51.58,142631.0
2023-08-26,51.59,52.26,50.83,51.58,142631.0
2023-08-27,51.59,52.26,50.83,51.58,142631.0
2023-08-28,51.93,52.7,51.77,51.92,131175.0
2023-08-29,51.76,53.88,51.76,53.86,217719.0
2023-08-30,53.49,54.27,53.26,53.75,171007.0
2023-08-31,53.89,54.65,53.53,53.89,159443.0
2023-09-01,54.29,55.15,54.29,54.65,144821.0
2023-09-02,54.29,55.15,54.29,54.65,144821.0
2023-09-03,54.29,55.15,54.29,54.65,144821.0
2023-09-04,54.29,55.15,54.29,54.65,144821.0
2023-09-05,53.69,53.69,51.28,52.97,247988.0
2023-09-06,53.09,53.54,51.64,52.45,143634.0
2023-09-07,52.26,52.26,50.1,50.75,282755.0
2023-09-08,50.69,50.92,50.02,50.13,172835.0
2023-09-09,50.69,50.92,50.02,50.13,172835.0
2023-09-10,50.69,50.92,50.02,50.13,172835.0
2023-09-11,50.78,50.975,49.395,49.67,228868.0
2023-09-12,49.5,50.09,49.145,50.09,193407.0
2023-09-13,50.1,50.21,48.9134,49.78,214230.0
2023-09-14,50.54,51.9485,50.54,51.78,262518.0
2023-09-15,51.54,51.84,50.0,50.69,895988.0
2023-09-16,51.54,51.84,50.0,50.69,895988.0
2023-09-17,51.54,51.84,50.0,50.69,895988.0
2023-09-18,50.88,50.88,49.46,50.15,276264.0
2023-09-19,49.95,50.035,48.805,49.33,206649.0
2023-09-20,49.67,50.57,48.91,48.95,155435.0
2023-09-21,48.42,48.8917,48.02,48.35,108579.0
2023-09-22,48.47,48.8999,46.77,46.86,208316.0
2023-09-23,48.47,48.8999,46.77,46.86,208316.0
2023-09-24,48.47,48.8999,46.77,46.86,208316.0
2023-09-25,46.71,47.63,46.7,47.24,182574.0
2023-09-26,46.91,47.6,46.715,47.02,246854.0
2023-09-27,47.7,48.03,46.555,47.21,161538.0
2023-09-28,47.37,48.68,47.31,48.18,251947.0
2023-09-29,48.71,48.71,47.15,47.61,275711.0
2023-09-30,48.71,48.71,47.15,47.61,275711.0
2023-10-01,48.71,48.71,47.15,47.61,275711.0
2023-10-02,47.36,47.73,46.01,46.4,197932.0
2023-10-03,44.1,45.6169,42.9169,43.14,276980.0
2023-10-04,43.31,43.31,42.4405,42.79,378484.0
2023-10-05,42.78,42.88,41.48,42.07,304573.0
2023-10-06,41.93,42.59,41.02,42.25,292827.0
2023-10-07,41.93,42.59,41.02,42.25,292827.0
2023-10-08,41.93,42.59,41.02,42.25,292827.0
2023-10-09,41.39,41.84,40.69,41.52,192896.0
2023-10-10,41.85,42.66,41.79,41.95,181036.0
2023-10-11,41.78,42.3147,41.17,41.71,389019.0
2023-10-12,42.04,42.04,40.19,40.96,379340.0
2023-10-13,40.93,41.3099,40.22,40.39,213036.0
2023-10-14,40.93,41.3099,40.22,40.39,213036.0
2023-10-15,40.93,41.3099,40.22,40.39,213036.0
2023-10-16,41.02,41.73,40.39,41.69,269782.0
2023-10-17,41.32,42.84,41.32,42.61,189281.0
2023-10-18,41.72,41.75,40.587,41.27,193862.0
2023-10-19,41.34,41.68,39.93,39.95,327241.0
2023-10-20,40.3,41.09,40.03,40.57,276096.0
2023-10-21,40.3,41.09,40.03,40.57,276096.0
2023-10-22,40.3,41.09,40.03,40.57,276096.0
2023-10-23,39.95,41.17,39.64,40.62,264107.0
2023-10-24,41.09,41.09,39.63,39.71,217834.0
2023-10-25,39.17,39.34,38.1,38.56,281479.0
2023-10-26,38.88,39.63,38.46,39.41,143374.0
2023-10-27,39.49,39.57,38.72,39.49,211541.0
2023-10-28,39.49,39.57,38.72,39.49,211541.0
2023-10-29,39.49,39.57,38.72,39.49,211541.0
2023-10-30,40.14,40.34,39.1,40.09,187248.0
2023-10-31,40.14,40.525,39.7,40.28,216399.0
2023-11-01,39.83,40.285,38.73,39.25,475706.0
2023-11-02,39.93,43.2,39.22,42.29,947696.0
2023-11-03,43.17,44.11,42.51,42.81,330680.0
2023-11-04,43.17,44.11,42.51,42.81,330680.0
2023-11-05,43.17,44.11,42.51,42.81,330680.0
2023-11-06,41.61,41.75,40.01,40.06,302351.0
2023-11-07,39.69,39.765,38.84,39.34,369266.0
2023-11-08,38.91,39.1975,38.15,38.95,246238.0
2023-11-09,38.91,38.91,37.37,37.42,258326.0
2023-11-10,37.47,38.055,36.66,37.93,215282.0
2023-11-11,37.47,38.055,36.66,37.93,215282.0
2023-11-12,37.47,38.055,36.66,37.93,215282.0
2023-11-13,37.41,37.85,37.1267,37.57,214398.0
2023-11-14,38.46,40.23,38.46,40.06,553208.0
2023-11-15,40.42,41.41,40.12,40.2,200980.0
2023-11-16,39.87,40.05,38.64,38.94,226627.0
2023-11-17,39.48,40.3,38.99,40.15,250016.0
2023-11-18,39.48,40.3,38.99,40.15,250016.0
2023-11-19,39.48,40.3,38.99,40.15,250016.0
2023-11-20,40.13,40.56,39.67,40.18,153971.0
2023-11-21,39.74,39.84,38.813,38.89,110896.0
2023-11-22,39.05,39.4916,38.36,39.35,124533.0
2023-11-23,39.05,39.4916,38.36,39.35,124533.0
2023-11-24,39.21,39.9819,38.94,39.79,60673.0
2023-11-25,39.21,39.9819,38.94,39.79,60673.0
2023-11-26,39.21,39.9819,38.94,39.79,60673.0
2023-11-27,39.29,39.435,38.255,38.63,223697.0
2023-11-28,38.64,39.04,38.2896,38.72,186938.0
2023-11-29,39.04,39.75,38.6,39.48,199565.0
2023-11-30,39.52,39.675,38.63,38.79,214184.0
2023-12-01,38.3,40.9,37.53,40.72,391553.0
2023-12-02,38.3,40.9,37.53,40.72,391553.0
2023-12-03,38.3,40.9,37.53,40.72,391553.0
2023-12-04,40.6,41.0809,40.005,40.18,310035.0
2023-12-05,39.87,40.23,38.65,38.85,236166.0
2023-12-06,39.21,40.15,38.77,39.27,235870.0
2023-12-07,39.6,41.35,39.05,41.31,321138.0
2023-12-08,41.18,42.38,41.05,41.74,217765.0
2023-12-09,41.18,42.38,41.05,41.74,217765.0
2023-12-10,41.18,42.38,41.05,41.74,217765.0
2023-12-11,41.39,41.82,40.51,40.52,275103.0
2023-12-12,40.48,41.005,39.96,40.39,212952.0
2023-12-13,39.99,43.37,39.7,43.16,328065.0
2023-12-14,44.12,46.6,44.12,46.19,512164.0
2023-12-15,46.43,46.43,44.8965,45.78,1463333.0
2023-12-16,46.43,46.43,44.8965,45.78,1463333.0
2023-12-17,46.43,46.43,44.8965,45.78,1463333.0
2023-12-18,45.8,46.43,45.1494,45.98,350653.0
2023-12-19,46.6,47.63,46.37,46.65,255994.0
2023-12-20,46.5,47.545,45.4,45.49,476799.0
2023-12-21,46.4,46.44,45.35,46.31,339778.0
2023-12-22,46.85,47.9,46.3,47.82,329366.0
2023-12-23,46.85,47.9,46.3,47.82,329366.0
2023-12-24,46.85,47.9,46.3,47.82,329366.0
2023-12-25,46.85,47.9,46.3,47.82,329366.0
2023-12-26,48.14,48.445,47.65,47.96,136165.0
2023-12-27,47.89,48.44,47.22,47.41,144886.0
2023-12-28,47.18,47.71,46.87,47.65,162478.0
2023-12-29,47.46,47.66,47.061,47.22,243640.0
2023-12-30,47.46,47.66,47.061,47.22,243640.0
2023-12-31,47.46,47.66,47.061,47.22,243640.0
2024-01-01,47.46,47.66,47.061,47.22,243640.0
2024-01-02,46.75,48.42,46.23,46.98,244831.0
2024-01-03,46.48,46.48,43.56,44.03,220146.0
2024-01-04,44.05,44.2001,42.83,43.56,208989.0
2024-01-05,42.9,44.08,42.45,43.3,156899.0
2024-01-06,42.9,44.08,42.45,43.3,156899.0
2024-01-07,42.9,44.08,42.45,43.3,156899.0
2024-01-08,42.98,44.14,42.54,44.08,188623.0
2024-01-09,42.85,43.48,42.07,43.08,262323.0
2024-01-10,42.76,43.1,42.07,42.88,204520.0
2024-01-11,42.59,42.71,41.62,41.84,217340.0
2024-01-12,42.94,43.21,41.1,41.43,160245.0
2024-01-13,42.94,43.21,41.1,41.43,160245.0
2024-01-14,42.94,43.21,41.1,41.43,160245.0
2024-01-15,42.94,43.21,41.1,41.43,160245.0
2024-01-16,40.89,41.54,40.45,40.92,287887.0
2024-01-17,40.01,40.2702,39.55,40.04,175494.0
2024-01-18,40.28,41.34,40.105,40.99,234759.0
2024-01-19,41.07,41.245,40.0,40.86,162642.0
2024-01-20,41.07,41.245,40.0,40.86,162642.0
2024-01-21,41.07,41.245,40.0,40.86,162642.0
2024-01-22,41.19,43.76,41.18,43.44,366373.0
2024-01-23,44.43,44.98,43.6,44.16,175216.0
2024-01-24,44.71,44.71,43.9,44.14,204654.0
2024-01-25,45.0,45.16,43.965,44.53,240752.0
2024-01-26,45.15,46.22,45.15,45.9,218405.0
2024-01-27,45.15,46.22,45.15,45.9,218405.0
2024-01-28,45.15,46.22,45.15,45.9,218405.0
2024-01-29,45.69,45.95,44.87,45.7,297254.0
2024-01-30,45.35,46.16,44.75,45.06,253973.0
2024-01-31,45.36,45.36,43.4,43.56,234521.0
2024-02-01,43.88,44.45,42.91,44.33,344275.0
2024-02-02,43.37,44.3,42.84,43.8,180183.0
2024-02-03,43.37,44.3,42.84,43.8,180183.0
2024-02-04,43.37,44.3,42.84,43.8,180183.0
2024-02-05,42.87,43.26,41.92,42.69,202841.0
2024-02-06,42.52,44.28,42.52,43.31,207777.0
2024-02-07,43.57,43.57,42.76,43.33,136258.0
2024-02-08,43.63,44.71,42.985,44.6,222539.0
2024-02-09,44.59,45.21,43.93,44.85,231719.0
2024-02-10,44.59,45.21,43.93,44.85,231719.0
2024-02-11,44.59,45.21,43.93,44.85,231719.0
2024-02-12,44.95,46.83,44.67,46.32,257312.0
2024-02-13,44.27,45.11,43.49,44.0,227235.0
2024-02-14,45.09,45.14,44.03,44.79,180296.0
2024-02-15,45.38,46.98,45.38,46.75,234028.0
2024-02-16,46.15,48.23,46.15,47.66,360800.0
2024-02-17,46.15,48.23,46.15,47.66,360800.0
2024-02-18,46.15,48.23,46.15,47.66,360800.0
2024-02-19,46.15,48.23,46.15,47.66,360800.0
2024-02-20,46.86,47.15,45.92,45.97,183680.0
2024-02-21,45.71,45.91,44.46,44.97,446601.0
2024-02-22,48.51,48.85,44.34,47.4,616029.0
2024-02-23,47.79,49.04,47.575,48.95,274698.0
2024-02-24,47.79,49.04,47.575,48.95,274698.0
2024-02-25,47.79,49.04,47.575,48.95,274698.0
2024-02-26,48.52,48.53,47.23,48.11,301557.0
2024-02-27,48.81,49.04,46.56,46.58,248447.0
2024-02-28,45.84,46.91,45.21,45.27,204097.0
2024-02-29,45.79,46.19,45.42,45.68,236360.0
2024-03-01,45.88,46.42,45.22,45.27,181742.0
2024-03-02,45.88,46.42,45.22,45.27,181742.0
2024-03-03,45.88,46.42,45.22,45.27,181742.0
2024-03-04,45.42,46.0899,44.675,45.67,204058.0
2024-03-05,45.15,46.09,44.95,45.14,164998.0
2024-03-06,45.77,45.92,44.47,45.88,233394.0
2024-03-07,46.43,47.08,45.415,45.79,231247.0
2024-03-08,46.43,46.97,45.79,46.0,134533.0
2024-03-09,46.43,46.97,45.79,46.0,134533.0
2024-03-10,46.43,46.97,45.79,46.0,134533.0
2024-03-11,45.9,46.92,45.9,46.62,141658.0
2024-03-12,46.73,46.73,45.515,45.99,159033.0
2024-03-13,45.79,46.835,45.79,46.46,137087.0
2024-03-14,45.84,46.215,43.91,44.35,170227.0
2024-03-15,44.1,45.39,43.96,45.27,492823.0
2024-03-16,44.1,45.39,43.96,45.27,492823.0
2024-03-17,44.1,45.39,43.96,45.27,492823.0
2024-03-18,45.18,45.26,44.47,44.51,128851.0
2024-03-19,44.42,45.13,44.081,44.2,194336.0
2024-03-20,44.1,45.97,43.68,45.25,310177.0
2024-03-21,45.71,47.79,45.25,47.77,322381.0
2024-03-22,47.93,48.49,46.895,47.4,189714.0
2024-03-23,47.93,48.49,46.895,47.4,189714.0
2024-03-24,47.93,48.49,46.895,47.4,189714.0
2024-03-25,47.96,48.1,46.6,47.0,144338.0
2024-03-26,47.32,47.57,46.7,47.11,169626.0
2024-03-27,47.75,48.72,47.5348,48.44,301784.0
2024-03-28,48.44,49.06,47.6,47.7,335894.0
2024-03-29,48.44,49.06,47.6,47.7,335894.0
2024-03-30,48.44,49.06,47.6,47.7,335894.0
2024-03-31,48.44,49.06,47.6,47.7,335894.0
2024-04-01,47.97,48.275,47.01,47.39,166520.0
2024-04-02,46.78,46.89,45.61,46.17,205958.0
2024-04-03,45.89,47.21,45.89,47.19,171111.0
2024-04-04,47.94,48.18,46.22,46.45,232218.0
2024-04-05,46.29,46.85,45.76,46.54,185167.0
2024-04-06,46.29,46.85,45.76,46.54,185167.0
2024-04-07,46.29,46.85,45.76,46.54,185167.0
2024-04-08,47.13,47.61,46.8424,46.96,121921.0
2024-04-09,47.3,49.35,47.245,49.17,121987.0
2024-04-10,47.38,48.02,46.3512,47.17,220136.0
2024-04-11,47.49,47.49,46.35,46.88,149000.0
2024-04-12,46.76,46.76,45.0,45.27,115132.0
2024-04-13,46.76,46.76,45.0,45.27,115132.0
2024-04-14,46.76,46.76,45.0,45.27,115132.0
2024-04-15,45.36,45.965,44.46,44.93,140971.0
2024-04-16,44.22,44.71,43.6375,44.48,196456.0
2024-04-17,44.82,45.27,43.78,43.79,114122.0
2024-04-18,43.9,44.34,43.15,43.5,158711.0
2024-04-19,43.35,44.5,43.35,44.44,181634.0
2024-04-20,43.35,44.5,43.35,44.44,181634.0
2024-04-21,43.35,44.5,43.35,44.44,181634.0
2024-04-22,46.0,49.06,46.0,47.87,323254.0
2024-04-23,47.65,48.99,47.645,48.9,228582.0
2024-04-24,48.46,49.11,48.16,48.23,247063.0
2024-04-25,47.76,47.98,47.145,47.87,201991.0
2024-04-26,47.97,48.9,47.97,48.51,146152.0
2024-04-27,47.97,48.9,47.97,48.51,146152.0
2024-04-28,47.97,48.9,47.97,48.51,146152.0
2024-04-29,48.88,51.48,48.76,50.95,279840.0
2024-04-30,50.47,51.245,50.02,51.14,215608.0
2024-05-01,51.14,53.79,50.8362,51.89,430767.0
