,AVA US Equity
2021-04-12,2.47
2021-04-13,2.47
2021-04-14,2.47
2021-04-15,2.47
2021-04-16,2.47
2021-04-17,2.47
2021-04-18,2.47
2021-04-19,2.47
2021-04-20,2.55
2021-04-21,2.55
2021-04-22,2.55
2021-04-23,2.55
2021-04-24,2.55
2021-04-25,2.55
2021-04-26,2.55
2021-04-27,2.55
2021-04-28,2.55
2021-04-29,2.55
2021-04-30,2.55
2021-05-01,2.55
2021-05-02,2.55
2021-05-03,2.55
2021-05-04,2.55
2021-05-05,2.55
2021-05-06,2.55
2021-05-07,2.55
2021-05-08,2.55
2021-05-09,2.55
2021-05-10,2.55
2021-05-11,2.55
2021-05-12,2.55
2021-05-13,2.55
2021-05-14,2.55
2021-05-15,2.55
2021-05-16,2.55
2021-05-17,2.55
2021-05-18,2.55
2021-05-19,2.55
2021-05-20,2.55
2021-05-21,2.55
2021-05-22,2.55
2021-05-23,2.55
2021-05-24,2.5
2021-05-25,2.5
2021-05-26,2.5
2021-05-27,2.5
2021-05-28,2.5
2021-05-29,2.5
2021-05-30,2.5
2021-05-31,2.5
2021-06-01,2.5
2021-06-02,2.5
2021-06-03,2.5
2021-06-04,2.5
2021-06-05,2.5
2021-06-06,2.5
2021-06-07,2.5
2021-06-08,2.5
2021-06-09,2.5
2021-06-10,2.5
2021-06-11,2.5
2021-06-12,2.5
2021-06-13,2.5
2021-06-14,2.5
2021-06-15,2.5
2021-06-16,2.5
2021-06-17,2.5
2021-06-18,2.5
2021-06-19,2.5
2021-06-20,2.5
2021-06-21,2.5
2021-06-22,2.5
2021-06-23,2.5
2021-06-24,2.5
2021-06-25,2.5
2021-06-26,2.5
2021-06-27,2.5
2021-06-28,2.5
2021-06-29,2.5
2021-06-30,2.5
2021-07-01,2.5
2021-07-02,2.5
2021-07-03,2.5
2021-07-04,2.5
2021-07-05,2.5
2021-07-06,2.5
2021-07-07,2.5
2021-07-08,2.5
2021-07-09,2.5
2021-07-10,2.5
2021-07-11,2.5
2021-07-12,2.5
2021-07-13,2.5
2021-07-14,2.5
2021-07-15,2.5
2021-07-16,2.5
2021-07-17,2.5
2021-07-18,2.5
2021-07-19,2.5
2021-07-20,2.5
2021-07-21,2.5
2021-07-22,2.5
2021-07-23,2.5
2021-07-24,2.5
2021-07-25,2.5
2021-07-26,2.5
2021-07-27,2.5
2021-07-28,2.5
2021-07-29,2.5
2021-07-30,2.5
2021-07-31,2.5
2021-08-01,2.5
2021-08-02,2.5
2021-08-03,2.5
2021-08-04,2.5
2021-08-05,2.5
2021-08-06,2.5
2021-08-07,2.5
2021-08-08,2.5
2021-08-09,2.5
2021-08-10,2.5
2021-08-11,2.5
2021-08-12,2.5
2021-08-13,2.67
2021-08-14,2.67
2021-08-15,2.67
2021-08-16,2.67
2021-08-17,2.67
2021-08-18,2.67
2021-08-19,2.67
2021-08-20,2.67
2021-08-21,2.67
2021-08-22,2.67
2021-08-23,2.67
2021-08-24,2.67
2021-08-25,2.67
2021-08-26,2.67
2021-08-27,2.67
2021-08-28,2.67
2021-08-29,2.67
2021-08-30,2.67
2021-08-31,2.67
2021-09-01,2.67
2021-09-02,2.67
2021-09-03,2.67
2021-09-04,2.67
2021-09-05,2.67
2021-09-06,2.67
2021-09-07,2.67
2021-09-08,2.67
2021-09-09,2.67
2021-09-10,2.67
2021-09-11,2.67
2021-09-12,2.67
2021-09-13,2.67
2021-09-14,2.67
2021-09-15,2.67
2021-09-16,2.67
2021-09-17,2.67
2021-09-18,2.67
2021-09-19,2.67
2021-09-20,2.67
2021-09-21,2.67
2021-09-22,2.67
2021-09-23,2.67
2021-09-24,2.67
2021-09-25,2.67
2021-09-26,2.67
2021-09-27,2.67
2021-09-28,2.67
2021-09-29,2.67
2021-09-30,2.67
2021-10-01,2.67
2021-10-02,2.67
2021-10-03,2.67
2021-10-04,2.67
2021-10-05,2.67
2021-10-06,2.67
2021-10-07,2.67
2021-10-08,2.67
2021-10-09,2.67
2021-10-10,2.67
2021-10-11,2.67
2021-10-12,2.67
2021-10-13,2.67
2021-10-14,2.67
2021-10-15,2.67
2021-10-16,2.67
2021-10-17,2.67
2021-10-18,2.59
2021-10-19,2.59
2021-10-20,2.59
2021-10-21,2.59
2021-10-22,2.59
2021-10-23,2.59
2021-10-24,2.59
2021-10-25,2.59
2021-10-26,2.59
2021-10-27,2.59
2021-10-28,2.59
2021-10-29,2.59
2021-10-30,2.59
2021-10-31,2.59
2021-11-01,2.59
2021-11-02,2.59
2021-11-03,2.59
2021-11-04,2.59
2021-11-05,2.59
2021-11-06,2.59
2021-11-07,2.59
2021-11-08,2.59
2021-11-09,2.59
2021-11-10,2.59
2021-11-11,2.59
2021-11-12,2.59
2021-11-13,2.59
2021-11-14,2.59
2021-11-15,2.59
2021-11-16,2.59
2021-11-17,2.59
2021-11-18,2.59
2021-11-19,2.59
2021-11-20,2.59
2021-11-21,2.59
2021-11-22,2.59
2021-11-23,2.59
2021-11-24,2.59
2021-11-25,2.59
2021-11-26,2.59
2021-11-27,2.59
2021-11-28,2.59
2021-11-29,2.59
2021-11-30,2.59
2021-12-01,2.59
2021-12-02,2.59
2021-12-03,2.645
2021-12-04,2.645
2021-12-05,2.645
2021-12-06,2.645
2021-12-07,2.645
2021-12-08,2.645
2021-12-09,2.645
2021-12-10,2.645
2021-12-11,2.645
2021-12-12,2.645
2021-12-13,2.645
2021-12-14,2.645
2021-12-15,2.645
2021-12-16,2.645
2021-12-17,2.645
2021-12-18,2.645
2021-12-19,2.645
2021-12-20,2.645
2021-12-21,2.645
2021-12-22,2.645
2021-12-23,2.645
2021-12-24,2.645
2021-12-25,2.645
2021-12-26,2.645
2021-12-27,2.645
2021-12-28,2.645
2021-12-29,2.645
2021-12-30,2.645
2021-12-31,2.645
2022-01-01,2.645
2022-01-02,2.645
2022-01-03,2.645
2022-01-04,2.645
2022-01-05,2.645
2022-01-06,2.645
2022-01-07,2.645
2022-01-08,2.645
2022-01-09,2.645
2022-01-10,2.645
2022-01-11,2.645
2022-01-12,2.645
2022-01-13,2.64
2022-01-14,2.64
2022-01-15,2.64
2022-01-16,2.64
2022-01-17,2.64
2022-01-18,2.64
2022-01-19,2.64
2022-01-20,2.64
2022-01-21,2.64
2022-01-22,2.64
2022-01-23,2.64
2022-01-24,2.64
2022-01-25,2.64
2022-01-26,2.64
2022-01-27,2.64
2022-01-28,2.64
2022-01-29,2.64
2022-01-30,2.64
2022-01-31,2.64
2022-02-01,2.64
2022-02-02,2.64
2022-02-03,2.64
2022-02-04,2.64
2022-02-05,2.64
2022-02-06,2.64
2022-02-07,2.64
2022-02-08,2.64
2022-02-09,2.64
2022-02-10,2.64
2022-02-11,2.64
2022-02-12,2.64
2022-02-13,2.64
2022-02-14,2.64
2022-02-15,2.64
2022-02-16,2.64
2022-02-17,2.64
2022-02-18,2.64
2022-02-19,2.64
2022-02-20,2.64
2022-02-21,2.64
2022-02-22,2.64
2022-02-23,2.64
2022-02-24,2.63
2022-02-25,2.63
2022-02-26,2.63
2022-02-27,2.63
2022-02-28,2.63
2022-03-01,2.63
2022-03-02,2.63
2022-03-03,2.63
2022-03-04,2.63
2022-03-05,2.63
2022-03-06,2.63
2022-03-07,2.63
2022-03-08,2.63
2022-03-09,2.624
2022-03-10,2.624
2022-03-11,2.624
2022-03-12,2.624
2022-03-13,2.624
2022-03-14,2.612
2022-03-15,2.612
2022-03-16,2.612
2022-03-17,2.612
2022-03-18,2.612
2022-03-19,2.612
2022-03-20,2.612
2022-03-21,2.612
2022-03-22,2.612
2022-03-23,2.612
2022-03-24,2.612
2022-03-25,2.612
2022-03-26,2.612
2022-03-27,2.612
2022-03-28,2.612
2022-03-29,2.612
2022-03-30,2.612
2022-03-31,2.612
2022-04-01,2.613
2022-04-02,2.613
2022-04-03,2.613
2022-04-04,2.613
2022-04-05,2.613
2022-04-06,2.613
2022-04-07,2.613
2022-04-08,2.613
2022-04-09,2.613
2022-04-10,2.613
2022-04-11,2.613
2022-04-12,2.613
2022-04-13,2.613
2022-04-14,2.613
2022-04-15,2.613
2022-04-16,2.613
2022-04-17,2.613
2022-04-18,2.613
2022-04-19,2.612
2022-04-20,2.612
2022-04-21,2.612
2022-04-22,2.612
2022-04-23,2.612
2022-04-24,2.612
2022-04-25,2.61
2022-04-26,2.61
2022-04-27,2.61
2022-04-28,2.61
2022-04-29,2.61
2022-04-30,2.61
2022-05-01,2.61
2022-05-02,2.61
2022-05-03,2.61
2022-05-04,2.61
2022-05-05,2.61
2022-05-06,2.61
2022-05-07,2.61
2022-05-08,2.61
2022-05-09,2.61
2022-05-10,2.61
2022-05-11,2.61
2022-05-12,2.61
2022-05-13,2.613
2022-05-14,2.613
2022-05-15,2.613
2022-05-16,2.613
2022-05-17,2.613
2022-05-18,2.613
2022-05-19,2.613
2022-05-20,2.613
2022-05-21,2.613
2022-05-22,2.613
2022-05-23,2.613
2022-05-24,2.613
2022-05-25,2.613
2022-05-26,2.613
2022-05-27,2.613
2022-05-28,2.613
2022-05-29,2.613
2022-05-30,2.613
2022-05-31,2.613
2022-06-01,2.613
2022-06-02,2.613
2022-06-03,2.613
2022-06-04,2.613
2022-06-05,2.613
2022-06-06,2.613
2022-06-07,2.613
2022-06-08,2.613
2022-06-09,2.613
2022-06-10,2.613
2022-06-11,2.613
2022-06-12,2.613
2022-06-13,2.613
2022-06-14,2.613
2022-06-15,2.615
2022-06-16,2.615
2022-06-17,2.615
2022-06-18,2.615
2022-06-19,2.615
2022-06-20,2.615
2022-06-21,2.615
2022-06-22,2.615
2022-06-23,2.615
2022-06-24,2.615
2022-06-25,2.615
2022-06-26,2.615
2022-06-27,2.615
2022-06-28,2.615
2022-06-29,2.62
2022-06-30,2.62
2022-07-01,2.62
2022-07-02,2.62
2022-07-03,2.62
2022-07-04,2.62
2022-07-05,2.62
2022-07-06,2.62
2022-07-07,2.62
2022-07-08,2.62
2022-07-09,2.62
2022-07-10,2.62
2022-07-11,2.62
2022-07-12,2.62
2022-07-13,2.62
2022-07-14,2.62
2022-07-15,2.62
2022-07-16,2.62
2022-07-17,2.62
2022-07-18,2.618
2022-07-19,2.618
2022-07-20,2.618
2022-07-21,2.618
2022-07-22,2.618
2022-07-23,2.618
2022-07-24,2.618
2022-07-25,2.618
2022-07-26,2.618
2022-07-27,2.618
2022-07-28,2.618
2022-07-29,2.618
2022-07-30,2.618
2022-07-31,2.618
2022-08-01,2.618
2022-08-02,2.618
2022-08-03,2.618
2022-08-04,2.618
2022-08-05,2.624
2022-08-06,2.624
2022-08-07,2.624
2022-08-08,2.624
2022-08-09,2.624
2022-08-10,2.624
2022-08-11,2.624
2022-08-12,2.624
2022-08-13,2.624
2022-08-14,2.624
2022-08-15,2.624
2022-08-16,2.632
2022-08-17,2.632
2022-08-18,2.632
2022-08-19,2.632
2022-08-20,2.632
2022-08-21,2.632
2022-08-22,2.632
2022-08-23,2.632
2022-08-24,2.632
2022-08-25,2.632
2022-08-26,2.632
2022-08-27,2.632
2022-08-28,2.632
2022-08-29,2.632
2022-08-30,2.632
2022-08-31,2.632
2022-09-01,2.637
2022-09-02,2.637
2022-09-03,2.637
2022-09-04,2.637
2022-09-05,2.637
2022-09-06,2.633
2022-09-07,2.633
2022-09-08,2.633
2022-09-09,2.498
2022-09-10,2.498
2022-09-11,2.498
2022-09-12,2.498
2022-09-13,2.498
2022-09-14,2.498
2022-09-15,2.498
2022-09-16,2.498
2022-09-17,2.498
2022-09-18,2.498
2022-09-19,2.498
2022-09-20,2.498
2022-09-21,2.498
2022-09-22,2.498
2022-09-23,2.626
2022-09-24,2.626
2022-09-25,2.626
2022-09-26,2.626
2022-09-27,2.626
2022-09-28,2.626
2022-09-29,2.626
2022-09-30,2.626
2022-10-01,2.626
2022-10-02,2.626
2022-10-03,2.626
2022-10-04,2.626
2022-10-05,2.626
2022-10-06,2.626
2022-10-07,2.626
2022-10-08,2.626
2022-10-09,2.626
2022-10-10,2.626
2022-10-11,2.626
2022-10-12,2.626
2022-10-13,2.626
2022-10-14,2.626
2022-10-15,2.626
2022-10-16,2.626
2022-10-17,2.626
2022-10-18,2.626
2022-10-19,2.626
2022-10-20,2.626
2022-10-21,2.626
2022-10-22,2.626
2022-10-23,2.626
2022-10-24,2.626
2022-10-25,2.626
2022-10-26,2.626
2022-10-27,2.626
2022-10-28,2.626
2022-10-29,2.626
2022-10-30,2.626
2022-10-31,2.626
2022-11-01,2.564
2022-11-02,2.52
2022-11-03,2.478
2022-11-04,2.478
2022-11-05,2.478
2022-11-06,2.478
2022-11-07,2.478
2022-11-08,2.433
2022-11-09,2.433
2022-11-10,2.433
2022-11-11,2.433
2022-11-12,2.433
2022-11-13,2.433
2022-11-14,2.433
2022-11-15,2.433
2022-11-16,2.433
2022-11-17,2.433
2022-11-18,2.433
2022-11-19,2.433
2022-11-20,2.433
2022-11-21,2.433
2022-11-22,2.433
2022-11-23,2.433
2022-11-24,2.433
2022-11-25,2.433
2022-11-26,2.433
2022-11-27,2.433
2022-11-28,2.433
2022-11-29,2.433
2022-11-30,2.433
2022-12-01,2.448
2022-12-02,2.448
2022-12-03,2.448
2022-12-04,2.448
2022-12-05,2.448
2022-12-06,2.448
2022-12-07,2.448
2022-12-08,2.448
2022-12-09,2.448
2022-12-10,2.448
2022-12-11,2.448
2022-12-12,2.448
2022-12-13,2.448
2022-12-14,2.448
2022-12-15,2.448
2022-12-16,2.448
2022-12-17,2.448
2022-12-18,2.448
2022-12-19,2.448
2022-12-20,2.448
2022-12-21,2.448
2022-12-22,2.448
2022-12-23,2.448
2022-12-24,2.448
2022-12-25,2.448
2022-12-26,2.448
2022-12-27,2.448
2022-12-28,2.448
2022-12-29,2.448
2022-12-30,2.448
2022-12-31,2.448
2023-01-01,2.448
2023-01-02,2.448
2023-01-03,2.448
2023-01-04,2.448
2023-01-05,2.448
2023-01-06,2.448
2023-01-07,2.448
2023-01-08,2.448
2023-01-09,2.448
2023-01-10,2.448
2023-01-11,2.448
2023-01-12,2.448
2023-01-13,2.448
2023-01-14,2.448
2023-01-15,2.448
2023-01-16,2.446
2023-01-17,2.426
2023-01-18,2.426
2023-01-19,2.426
2023-01-20,2.426
2023-01-21,2.426
2023-01-22,2.426
2023-01-23,2.426
2023-01-24,2.426
2023-01-25,2.426
2023-01-26,2.426
2023-01-27,2.426
2023-01-28,2.426
2023-01-29,2.426
2023-01-30,2.426
2023-01-31,2.426
2023-02-01,2.426
2023-02-02,2.426
2023-02-03,2.426
2023-02-04,2.426
2023-02-05,2.426
2023-02-06,2.426
2023-02-07,2.426
2023-02-08,2.426
2023-02-09,2.426
2023-02-10,2.426
2023-02-11,2.426
2023-02-12,2.426
2023-02-13,2.426
2023-02-14,2.426
2023-02-15,2.426
2023-02-16,2.426
2023-02-17,2.426
2023-02-18,2.426
2023-02-19,2.426
2023-02-20,2.426
2023-02-21,2.426
2023-02-22,2.426
2023-02-23,2.426
2023-02-24,2.426
2023-02-25,2.426
2023-02-26,2.426
2023-02-27,2.442
2023-02-28,2.442
2023-03-01,2.442
2023-03-02,2.442
2023-03-03,2.442
2023-03-04,2.442
2023-03-05,2.442
2023-03-06,2.442
2023-03-07,2.46
2023-03-08,2.46
2023-03-09,2.46
2023-03-10,2.46
2023-03-11,2.46
2023-03-12,2.46
2023-03-13,2.46
2023-03-14,2.46
2023-03-15,2.46
2023-03-16,2.46
2023-03-17,2.46
2023-03-18,2.46
2023-03-19,2.46
2023-03-20,2.46
2023-03-21,2.46
2023-03-22,2.46
2023-03-23,2.46
2023-03-24,2.46
2023-03-25,2.46
2023-03-26,2.46
2023-03-27,2.46
2023-03-28,2.46
2023-03-29,2.46
2023-03-30,2.46
2023-03-31,2.46
2023-04-01,2.46
2023-04-02,2.46
2023-04-03,2.46
2023-04-04,2.46
2023-04-05,2.46
2023-04-06,2.46
2023-04-07,2.46
2023-04-08,2.46
2023-04-09,2.46
2023-04-10,2.465
2023-04-11,2.465
2023-04-12,2.465
2023-04-13,2.465
2023-04-14,2.465
2023-04-15,2.465
2023-04-16,2.465
2023-04-17,2.468
2023-04-18,2.468
2023-04-19,2.468
2023-04-20,2.468
2023-04-21,2.468
2023-04-22,2.468
2023-04-23,2.468
2023-04-24,2.468
2023-04-25,2.468
2023-04-26,2.468
2023-04-27,2.468
2023-04-28,2.468
2023-04-29,2.468
2023-04-30,2.468
2023-05-01,2.468
2023-05-02,2.468
2023-05-03,2.472
2023-05-04,2.472
2023-05-05,2.472
2023-05-06,2.472
2023-05-07,2.472
2023-05-08,2.472
2023-05-09,2.472
2023-05-10,2.472
2023-05-11,2.472
2023-05-12,2.472
2023-05-13,2.472
2023-05-14,2.472
2023-05-15,2.472
2023-05-16,2.472
2023-05-17,2.472
2023-05-18,2.472
2023-05-19,2.472
2023-05-20,2.472
2023-05-21,2.472
2023-05-22,2.472
2023-05-23,2.472
2023-05-24,2.472
2023-05-25,2.472
2023-05-26,2.472
2023-05-27,2.472
2023-05-28,2.472
2023-05-29,2.472
2023-05-30,2.472
2023-05-31,2.472
2023-06-01,2.472
2023-06-02,2.472
2023-06-03,2.472
2023-06-04,2.472
2023-06-05,2.472
2023-06-06,2.472
2023-06-07,2.472
2023-06-08,2.472
2023-06-09,2.472
2023-06-10,2.472
2023-06-11,2.472
2023-06-12,2.472
2023-06-13,2.472
2023-06-14,2.472
2023-06-15,2.472
2023-06-16,2.472
2023-06-17,2.472
2023-06-18,2.472
2023-06-19,2.472
2023-06-20,2.478
2023-06-21,2.478
2023-06-22,2.478
2023-06-23,2.478
2023-06-24,2.478
2023-06-25,2.478
2023-06-26,2.478
2023-06-27,2.478
2023-06-28,2.478
2023-06-29,2.478
2023-06-30,2.478
2023-07-01,2.478
2023-07-02,2.478
2023-07-03,2.478
2023-07-04,2.478
2023-07-05,2.478
2023-07-06,2.478
2023-07-07,2.478
2023-07-08,2.478
2023-07-09,2.478
2023-07-10,2.478
2023-07-11,2.478
2023-07-12,2.478
2023-07-13,2.478
2023-07-14,2.478
