,LEN/B US Equity
2023-03-09,20.6343
2023-03-10,20.6343
2023-03-11,20.6343
2023-03-12,20.6343
2023-03-13,20.6343
2023-03-14,20.6343
2023-03-15,20.6343
2023-03-16,20.6343
2023-03-17,20.6343
2023-03-18,20.6343
2023-03-19,20.6343
2023-03-20,20.6343
2023-03-21,20.6343
2023-03-22,20.6343
2023-03-23,20.6343
2023-03-24,20.6343
2023-03-25,20.6343
2023-03-26,20.6343
2023-03-27,20.6343
2023-03-28,20.6343
2023-03-29,20.6343
2023-03-30,20.6343
2023-03-31,20.6343
2023-04-01,20.6343
2023-04-02,20.6343
2023-04-03,20.6343
2023-04-04,20.6343
2023-04-05,20.6343
2023-04-06,20.6343
2023-04-07,20.6343
2023-04-08,20.6343
2023-04-09,20.6343
2023-04-10,20.6343
2023-04-11,20.6343
2023-04-12,20.6343
2023-04-13,20.6343
2023-04-14,20.6343
2023-04-15,20.6343
2023-04-16,20.6343
2023-04-17,20.6343
2023-04-18,20.6343
2023-04-19,20.6343
2023-04-20,20.6343
2023-04-21,20.6343
2023-04-22,20.6343
2023-04-23,20.6343
2023-04-24,20.6343
2023-04-25,20.6343
2023-04-26,20.6343
2023-04-27,20.6343
2023-04-28,20.6343
2023-04-29,20.6343
2023-04-30,20.6343
2023-05-01,20.6343
2023-05-02,20.6343
2023-05-03,20.6343
2023-05-04,20.6343
2023-05-05,20.6343
2023-05-06,20.6343
2023-05-07,20.6343
2023-05-08,20.6343
2023-05-09,20.6343
2023-05-10,20.6343
2023-05-11,20.6343
2023-05-12,20.6343
2023-05-13,20.6343
2023-05-14,20.6343
2023-05-15,20.6343
2023-05-16,20.6343
2023-05-17,20.6343
2023-05-18,20.6343
2023-05-19,20.6343
2023-05-20,20.6343
2023-05-21,20.6343
2023-05-22,20.6343
2023-05-23,20.6343
2023-05-24,20.6343
2023-05-25,20.6343
2023-05-26,20.6343
2023-05-27,20.6343
2023-05-28,20.6343
2023-05-29,20.6343
2023-05-30,20.6343
2023-05-31,18.053
2023-06-01,18.053
2023-06-02,18.053
2023-06-03,18.053
2023-06-04,18.053
2023-06-05,18.053
2023-06-06,18.053
2023-06-07,18.053
2023-06-08,18.053
2023-06-09,18.053
2023-06-10,18.053
2023-06-11,18.053
2023-06-12,18.053
2023-06-13,18.053
2023-06-14,18.053
2023-06-15,18.053
2023-06-16,18.053
2023-06-17,18.053
2023-06-18,18.053
2023-06-19,18.053
2023-06-20,18.053
2023-06-21,18.053
2023-06-22,18.053
2023-06-23,18.053
2023-06-24,18.053
2023-06-25,18.053
2023-06-26,18.053
2023-06-27,18.053
2023-06-28,18.053
2023-06-29,18.053
2023-06-30,18.053
2023-07-01,18.053
2023-07-02,18.053
2023-07-03,18.053
2023-07-04,18.053
2023-07-05,18.053
2023-07-06,18.053
2023-07-07,18.053
2023-07-08,18.053
2023-07-09,18.053
2023-07-10,18.053
2023-07-11,18.053
2023-07-12,18.053
2023-07-13,18.053
2023-07-14,18.053
2023-07-15,18.053
2023-07-16,18.053
2023-07-17,18.053
2023-07-18,18.053
2023-07-19,18.053
2023-07-20,18.053
2023-07-21,18.053
2023-07-22,18.053
2023-07-23,18.053
2023-07-24,18.053
2023-07-25,18.053
2023-07-26,18.053
2023-07-27,18.053
2023-07-28,18.053
2023-07-29,18.053
2023-07-30,18.053
2023-07-31,18.053
2023-08-01,18.053
2023-08-02,18.053
2023-08-03,18.053
2023-08-04,18.053
2023-08-05,18.053
2023-08-06,18.053
2023-08-07,18.053
2023-08-08,18.053
2023-08-09,18.053
2023-08-10,18.053
2023-08-11,18.053
2023-08-12,18.053
2023-08-13,18.053
2023-08-14,18.053
2023-08-15,18.053
2023-08-16,18.053
2023-08-17,18.053
2023-08-18,18.053
2023-08-19,18.053
2023-08-20,18.053
2023-08-21,18.053
2023-08-22,18.053
2023-08-23,18.053
2023-08-24,18.053
2023-08-25,18.053
2023-08-26,18.053
2023-08-27,18.053
2023-08-28,18.053
2023-08-29,18.053
2023-08-30,18.053
2023-08-31,15.8397
2023-09-01,15.8397
2023-09-02,15.8397
2023-09-03,15.8397
2023-09-04,15.8397
2023-09-05,15.8397
2023-09-06,15.8397
2023-09-07,15.8397
2023-09-08,15.8397
2023-09-09,15.8397
2023-09-10,15.8397
2023-09-11,15.8397
2023-09-12,15.8397
2023-09-13,15.8397
2023-09-14,15.8397
2023-09-15,15.8397
2023-09-16,15.8397
2023-09-17,15.8397
2023-09-18,15.8397
2023-09-19,15.8397
2023-09-20,15.8397
2023-09-21,15.8397
2023-09-22,15.8397
2023-09-23,15.8397
2023-09-24,15.8397
2023-09-25,15.8397
2023-09-26,15.8397
2023-09-27,15.8397
2023-09-28,15.8397
2023-09-29,15.8397
2023-09-30,15.8397
2023-10-01,15.8397
2023-10-02,15.8397
2023-10-03,15.8397
2023-10-04,15.8397
2023-10-05,15.8397
2023-10-06,15.8397
2023-10-07,15.8397
2023-10-08,15.8397
2023-10-09,15.8397
2023-10-10,15.8397
2023-10-11,15.8397
2023-10-12,15.8397
2023-10-13,15.8397
2023-10-14,15.8397
2023-10-15,15.8397
2023-10-16,15.8397
2023-10-17,15.8397
2023-10-18,15.8397
2023-10-19,15.8397
2023-10-20,15.8397
2023-10-21,15.8397
2023-10-22,15.8397
2023-10-23,15.8397
2023-10-24,15.8397
2023-10-25,15.8397
2023-10-26,15.8397
2023-10-27,15.8397
2023-10-28,15.8397
2023-10-29,15.8397
2023-10-30,15.8397
2023-10-31,15.8397
2023-11-01,15.8397
2023-11-02,15.8397
2023-11-03,15.8397
2023-11-04,15.8397
2023-11-05,15.8397
2023-11-06,15.8397
2023-11-07,15.8397
2023-11-08,15.8397
2023-11-09,15.8397
2023-11-10,15.8397
2023-11-11,15.8397
2023-11-12,15.8397
2023-11-13,15.8397
2023-11-14,15.8397
2023-11-15,15.8397
2023-11-16,15.8397
2023-11-17,15.8397
2023-11-18,15.8397
2023-11-19,15.8397
2023-11-20,15.8397
2023-11-21,15.8397
2023-11-22,15.8397
2023-11-23,15.8397
2023-11-24,15.8397
2023-11-25,15.8397
2023-11-26,15.8397
2023-11-27,15.8397
2023-11-28,15.8397
2023-11-29,15.8397
2023-11-30,15.4066
2023-12-01,15.4066
2023-12-02,15.4066
2023-12-03,15.4066
2023-12-04,15.4066
2023-12-05,15.4066
2023-12-06,15.4066
2023-12-07,15.4066
2023-12-08,15.4066
2023-12-09,15.4066
2023-12-10,15.4066
2023-12-11,15.4066
2023-12-12,15.4066
2023-12-13,15.4066
2023-12-14,15.4066
2023-12-15,15.4066
2023-12-16,15.4066
2023-12-17,15.4066
2023-12-18,15.4066
2023-12-19,15.4066
2023-12-20,15.4066
2023-12-21,15.4066
2023-12-22,15.4066
2023-12-23,15.4066
2023-12-24,15.4066
2023-12-25,15.4066
2023-12-26,15.4066
2023-12-27,15.4066
2023-12-28,15.4066
2023-12-29,15.4066
2023-12-30,15.4066
2023-12-31,15.4066
2024-01-01,15.4066
2024-01-02,15.4066
2024-01-03,15.4066
2024-01-04,15.4066
2024-01-05,15.4066
2024-01-06,15.4066
2024-01-07,15.4066
2024-01-08,15.4066
2024-01-09,15.4066
2024-01-10,15.4066
2024-01-11,15.4066
2024-01-12,15.4066
2024-01-13,15.4066
2024-01-14,15.4066
2024-01-15,15.4066
2024-01-16,15.4066
2024-01-17,15.4066
2024-01-18,15.4066
2024-01-19,15.4066
2024-01-20,15.4066
2024-01-21,15.4066
2024-01-22,15.4066
2024-01-23,15.4066
2024-01-24,15.4066
2024-01-25,15.4066
2024-01-26,15.4066
2024-01-27,15.4066
2024-01-28,15.4066
2024-01-29,15.4066
2024-01-30,15.4066
2024-01-31,15.4066
2024-02-01,15.4066
2024-02-02,15.4066
2024-02-03,15.4066
2024-02-04,15.4066
2024-02-05,15.4066
2024-02-06,15.4066
2024-02-07,15.4066
2024-02-08,15.4066
2024-02-09,15.4066
2024-02-10,15.4066
2024-02-11,15.4066
2024-02-12,15.4066
2024-02-13,15.4066
2024-02-14,15.4066
2024-02-15,15.4066
2024-02-16,15.4066
2024-02-17,15.4066
2024-02-18,15.4066
2024-02-19,15.4066
2024-02-20,15.4066
2024-02-21,15.4066
2024-02-22,15.4066
2024-02-23,15.4066
2024-02-24,15.4066
2024-02-25,15.4066
2024-02-26,15.4066
2024-02-27,15.4066
2024-02-28,15.4066
2024-02-29,15.7744
2024-03-01,15.7744
2024-03-02,15.7744
2024-03-03,15.7744
2024-03-04,15.7744
2024-03-05,15.7744
2024-03-06,15.7744
2024-03-07,15.7744
2024-03-08,15.7744
2024-03-09,15.7744
2024-03-10,15.7744
2024-03-11,15.7744
2024-03-12,15.7744
2024-03-13,15.7744
2024-03-14,15.7744
2024-03-15,15.7744
2024-03-16,15.7744
2024-03-17,15.7744
2024-03-18,15.7744
2024-03-19,15.7744
2024-03-20,15.7744
2024-03-21,15.7744
2024-03-22,15.7744
2024-03-23,15.7744
2024-03-24,15.7744
2024-03-25,15.7744
2024-03-26,15.7744
2024-03-27,15.7744
2024-03-28,15.7744
2024-03-29,15.7744
2024-03-30,15.7744
2024-03-31,15.7744
2024-04-01,15.7744
2024-04-02,15.7744
2024-04-03,15.7744
2024-04-04,15.7744
2024-04-05,15.7744
2024-04-06,15.7744
2024-04-07,15.7744
2024-04-08,15.7744
