,CHRW US Equity
2023-03-09,55.7289
2023-03-10,55.7289
2023-03-11,55.7289
2023-03-12,55.7289
2023-03-13,55.7289
2023-03-14,55.7289
2023-03-15,55.7289
2023-03-16,55.7289
2023-03-17,55.7289
2023-03-18,55.7289
2023-03-19,55.7289
2023-03-20,55.7289
2023-03-21,55.7289
2023-03-22,55.7289
2023-03-23,55.7289
2023-03-24,55.7289
2023-03-25,55.7289
2023-03-26,55.7289
2023-03-27,55.7289
2023-03-28,55.7289
2023-03-29,55.7289
2023-03-30,55.7289
2023-03-31,45.1592
2023-04-01,45.1592
2023-04-02,45.1592
2023-04-03,45.1592
2023-04-04,45.1592
2023-04-05,45.1592
2023-04-06,45.1592
2023-04-07,45.1592
2023-04-08,45.1592
2023-04-09,45.1592
2023-04-10,45.1592
2023-04-11,45.1592
2023-04-12,45.1592
2023-04-13,45.1592
2023-04-14,45.1592
2023-04-15,45.1592
2023-04-16,45.1592
2023-04-17,45.1592
2023-04-18,45.1592
2023-04-19,45.1592
2023-04-20,45.1592
2023-04-21,45.1592
2023-04-22,45.1592
2023-04-23,45.1592
2023-04-24,45.1592
2023-04-25,45.1592
2023-04-26,45.1592
2023-04-27,45.1592
2023-04-28,45.1592
2023-04-29,45.1592
2023-04-30,45.1592
2023-05-01,45.1592
2023-05-02,45.1592
2023-05-03,45.1592
2023-05-04,45.1592
2023-05-05,45.1592
2023-05-06,45.1592
2023-05-07,45.1592
2023-05-08,45.1592
2023-05-09,45.1592
2023-05-10,45.1592
2023-05-11,45.1592
2023-05-12,45.1592
2023-05-13,45.1592
2023-05-14,45.1592
2023-05-15,45.1592
2023-05-16,45.1592
2023-05-17,45.1592
2023-05-18,45.1592
2023-05-19,45.1592
2023-05-20,45.1592
2023-05-21,45.1592
2023-05-22,45.1592
2023-05-23,45.1592
2023-05-24,45.1592
2023-05-25,45.1592
2023-05-26,45.1592
2023-05-27,45.1592
2023-05-28,45.1592
2023-05-29,45.1592
2023-05-30,45.1592
2023-05-31,45.1592
2023-06-01,45.1592
2023-06-02,45.1592
2023-06-03,45.1592
2023-06-04,45.1592
2023-06-05,45.1592
2023-06-06,45.1592
2023-06-07,45.1592
2023-06-08,45.1592
2023-06-09,45.1592
2023-06-10,45.1592
2023-06-11,45.1592
2023-06-12,45.1592
2023-06-13,45.1592
2023-06-14,45.1592
2023-06-15,45.1592
2023-06-16,45.1592
2023-06-17,45.1592
2023-06-18,45.1592
2023-06-19,45.1592
2023-06-20,45.1592
2023-06-21,45.1592
2023-06-22,45.1592
2023-06-23,45.1592
2023-06-24,45.1592
2023-06-25,45.1592
2023-06-26,45.1592
2023-06-27,45.1592
2023-06-28,45.1592
2023-06-29,45.1592
2023-06-30,31.0533
2023-07-01,31.0533
2023-07-02,31.0533
2023-07-03,31.0533
2023-07-04,31.0533
2023-07-05,31.0533
2023-07-06,31.0533
2023-07-07,31.0533
2023-07-08,31.0533
2023-07-09,31.0533
2023-07-10,31.0533
2023-07-11,31.0533
2023-07-12,31.0533
2023-07-13,31.0533
2023-07-14,31.0533
2023-07-15,31.0533
2023-07-16,31.0533
2023-07-17,31.0533
2023-07-18,31.0533
2023-07-19,31.0533
2023-07-20,31.0533
2023-07-21,31.0533
2023-07-22,31.0533
2023-07-23,31.0533
2023-07-24,31.0533
2023-07-25,31.0533
2023-07-26,31.0533
2023-07-27,31.0533
2023-07-28,31.0533
2023-07-29,31.0533
2023-07-30,31.0533
2023-07-31,31.0533
2023-08-01,31.0533
2023-08-02,31.0533
2023-08-03,31.0533
2023-08-04,31.0533
2023-08-05,31.0533
2023-08-06,31.0533
2023-08-07,31.0533
2023-08-08,31.0533
2023-08-09,31.0533
2023-08-10,31.0533
2023-08-11,31.0533
2023-08-12,31.0533
2023-08-13,31.0533
2023-08-14,31.0533
2023-08-15,31.0533
2023-08-16,31.0533
2023-08-17,31.0533
2023-08-18,31.0533
2023-08-19,31.0533
2023-08-20,31.0533
2023-08-21,31.0533
2023-08-22,31.0533
2023-08-23,31.0533
2023-08-24,31.0533
2023-08-25,31.0533
2023-08-26,31.0533
2023-08-27,31.0533
2023-08-28,31.0533
2023-08-29,31.0533
2023-08-30,31.0533
2023-08-31,31.0533
2023-09-01,31.0533
2023-09-02,31.0533
2023-09-03,31.0533
2023-09-04,31.0533
2023-09-05,31.0533
2023-09-06,31.0533
2023-09-07,31.0533
2023-09-08,31.0533
2023-09-09,31.0533
2023-09-10,31.0533
2023-09-11,31.0533
2023-09-12,31.0533
2023-09-13,31.0533
2023-09-14,31.0533
2023-09-15,31.0533
2023-09-16,31.0533
2023-09-17,31.0533
2023-09-18,31.0533
2023-09-19,31.0533
2023-09-20,31.0533
2023-09-21,31.0533
2023-09-22,31.0533
2023-09-23,31.0533
2023-09-24,31.0533
2023-09-25,31.0533
2023-09-26,31.0533
2023-09-27,31.0533
2023-09-28,31.0533
2023-09-29,31.0533
2023-09-30,25.3297
2023-10-01,25.3297
2023-10-02,25.3297
2023-10-03,25.3297
2023-10-04,25.3297
2023-10-05,25.3297
2023-10-06,25.3297
2023-10-07,25.3297
2023-10-08,25.3297
2023-10-09,25.3297
2023-10-10,25.3297
2023-10-11,25.3297
2023-10-12,25.3297
2023-10-13,25.3297
2023-10-14,25.3297
2023-10-15,25.3297
2023-10-16,25.3297
2023-10-17,25.3297
2023-10-18,25.3297
2023-10-19,25.3297
2023-10-20,25.3297
2023-10-21,25.3297
2023-10-22,25.3297
2023-10-23,25.3297
2023-10-24,25.3297
2023-10-25,25.3297
2023-10-26,25.3297
2023-10-27,25.3297
2023-10-28,25.3297
2023-10-29,25.3297
2023-10-30,25.3297
2023-10-31,25.3297
2023-11-01,25.3297
2023-11-02,25.3297
2023-11-03,25.3297
2023-11-04,25.3297
2023-11-05,25.3297
2023-11-06,25.3297
2023-11-07,25.3297
2023-11-08,25.3297
2023-11-09,25.3297
2023-11-10,25.3297
2023-11-11,25.3297
2023-11-12,25.3297
2023-11-13,25.3297
2023-11-14,25.3297
2023-11-15,25.3297
2023-11-16,25.3297
2023-11-17,25.3297
2023-11-18,25.3297
2023-11-19,25.3297
2023-11-20,25.3297
2023-11-21,25.3297
2023-11-22,25.3297
2023-11-23,25.3297
2023-11-24,25.3297
2023-11-25,25.3297
2023-11-26,25.3297
2023-11-27,25.3297
2023-11-28,25.3297
2023-11-29,25.3297
2023-11-30,25.3297
2023-12-01,25.3297
2023-12-02,25.3297
2023-12-03,25.3297
2023-12-04,25.3297
2023-12-05,25.3297
2023-12-06,25.3297
2023-12-07,25.3297
2023-12-08,25.3297
2023-12-09,25.3297
2023-12-10,25.3297
2023-12-11,25.3297
2023-12-12,25.3297
2023-12-13,25.3297
2023-12-14,25.3297
2023-12-15,25.3297
2023-12-16,25.3297
2023-12-17,25.3297
2023-12-18,25.3297
2023-12-19,25.3297
2023-12-20,25.3297
2023-12-21,25.3297
2023-12-22,25.3297
2023-12-23,25.3297
2023-12-24,25.3297
2023-12-25,25.3297
2023-12-26,25.3297
2023-12-27,25.3297
2023-12-28,25.3297
2023-12-29,25.3297
2023-12-30,25.3297
2023-12-31,23.4571
2024-01-01,23.4571
2024-01-02,23.4571
2024-01-03,23.4571
2024-01-04,23.4571
2024-01-05,23.4571
2024-01-06,23.4571
2024-01-07,23.4571
2024-01-08,23.4571
2024-01-09,23.4571
2024-01-10,23.4571
2024-01-11,23.4571
2024-01-12,23.4571
2024-01-13,23.4571
2024-01-14,23.4571
2024-01-15,23.4571
2024-01-16,23.4571
2024-01-17,23.4571
2024-01-18,23.4571
2024-01-19,23.4571
2024-01-20,23.4571
2024-01-21,23.4571
2024-01-22,23.4571
2024-01-23,23.4571
2024-01-24,23.4571
2024-01-25,23.4571
2024-01-26,23.4571
2024-01-27,23.4571
2024-01-28,23.4571
2024-01-29,23.4571
2024-01-30,23.4571
2024-01-31,23.4571
2024-02-01,23.4571
2024-02-02,23.4571
2024-02-03,23.4571
2024-02-04,23.4571
2024-02-05,23.4571
2024-02-06,23.4571
2024-02-07,23.4571
2024-02-08,23.4571
2024-02-09,23.4571
2024-02-10,23.4571
2024-02-11,23.4571
2024-02-12,23.4571
2024-02-13,23.4571
2024-02-14,23.4571
2024-02-15,23.4571
2024-02-16,23.4571
2024-02-17,23.4571
2024-02-18,23.4571
2024-02-19,23.4571
2024-02-20,23.4571
2024-02-21,23.4571
2024-02-22,23.4571
2024-02-23,23.4571
2024-02-24,23.4571
2024-02-25,23.4571
2024-02-26,23.4571
2024-02-27,23.4571
2024-02-28,23.4571
2024-02-29,23.4571
2024-03-01,23.4571
2024-03-02,23.4571
2024-03-03,23.4571
2024-03-04,23.4571
2024-03-05,23.4571
2024-03-06,23.4571
2024-03-07,23.4571
2024-03-08,23.4571
2024-03-09,23.4571
2024-03-10,23.4571
2024-03-11,23.4571
2024-03-12,23.4571
2024-03-13,23.4571
2024-03-14,23.4571
2024-03-15,23.4571
2024-03-16,23.4571
2024-03-17,23.4571
2024-03-18,23.4571
2024-03-19,23.4571
2024-03-20,23.4571
2024-03-21,23.4571
2024-03-22,23.4571
2024-03-23,23.4571
2024-03-24,23.4571
2024-03-25,23.4571
2024-03-26,23.4571
2024-03-27,23.4571
2024-03-28,23.4571
2024-03-29,23.4571
2024-03-30,23.4571
2024-03-31,23.4571
2024-04-01,23.4571
2024-04-02,23.4571
2024-04-03,23.4571
2024-04-04,23.4571
2024-04-05,23.4571
2024-04-06,23.4571
2024-04-07,23.4571
2024-04-08,23.4571
