,PNM US Equity
2020-08-13,10.6874
2020-08-14,10.6874
2020-08-15,10.6874
2020-08-16,10.6874
2020-08-17,10.6874
2020-08-18,10.6874
2020-08-19,10.6874
2020-08-20,10.6874
2020-08-21,10.6874
2020-08-22,10.6874
2020-08-23,10.6874
2020-08-24,10.6874
2020-08-25,10.6874
2020-08-26,10.6874
2020-08-27,10.6874
2020-08-28,10.6874
2020-08-29,10.6874
2020-08-30,10.6874
2020-08-31,10.6874
2020-09-01,10.6874
2020-09-02,10.6874
2020-09-03,10.6874
2020-09-04,10.6874
2020-09-05,10.6874
2020-09-06,10.6874
2020-09-07,10.6874
2020-09-08,10.6874
2020-09-09,10.6874
2020-09-10,10.6874
2020-09-11,10.6874
2020-09-12,10.6874
2020-09-13,10.6874
2020-09-14,10.6874
2020-09-15,10.6874
2020-09-16,10.6874
2020-09-17,10.6874
2020-09-18,10.6874
2020-09-19,10.6874
2020-09-20,10.6874
2020-09-21,10.6874
2020-09-22,10.6874
2020-09-23,10.6874
2020-09-24,10.6874
2020-09-25,10.6874
2020-09-26,10.6874
2020-09-27,10.6874
2020-09-28,10.6874
2020-09-29,10.6874
2020-09-30,11.3699
2020-10-01,11.3699
2020-10-02,11.3699
2020-10-03,11.3699
2020-10-04,11.3699
2020-10-05,11.3699
2020-10-06,11.3699
2020-10-07,11.3699
2020-10-08,11.3699
2020-10-09,11.3699
2020-10-10,11.3699
2020-10-11,11.3699
2020-10-12,11.3699
2020-10-13,11.3699
2020-10-14,11.3699
2020-10-15,11.3699
2020-10-16,11.3699
2020-10-17,11.3699
2020-10-18,11.3699
2020-10-19,11.3699
2020-10-20,11.3699
2020-10-21,11.3699
2020-10-22,11.3699
2020-10-23,11.3699
2020-10-24,11.3699
2020-10-25,11.3699
2020-10-26,11.3699
2020-10-27,11.3699
2020-10-28,11.3699
2020-10-29,11.3699
2020-10-30,11.3699
2020-10-31,11.3699
2020-11-01,11.3699
2020-11-02,11.3699
2020-11-03,11.3699
2020-11-04,11.3699
2020-11-05,11.3699
2020-11-06,11.3699
2020-11-07,11.3699
2020-11-08,11.3699
2020-11-09,11.3699
2020-11-10,11.3699
2020-11-11,11.3699
2020-11-12,11.3699
2020-11-13,11.3699
2020-11-14,11.3699
2020-11-15,11.3699
2020-11-16,11.3699
2020-11-17,11.3699
2020-11-18,11.3699
2020-11-19,11.3699
2020-11-20,11.3699
2020-11-21,11.3699
2020-11-22,11.3699
2020-11-23,11.3699
2020-11-24,11.3699
2020-11-25,11.3699
2020-11-26,11.3699
2020-11-27,11.3699
2020-11-28,11.3699
2020-11-29,11.3699
2020-11-30,11.3699
2020-12-01,11.3699
2020-12-02,11.3699
2020-12-03,11.3699
2020-12-04,11.3699
2020-12-05,11.3699
2020-12-06,11.3699
2020-12-07,11.3699
2020-12-08,11.3699
2020-12-09,11.3699
2020-12-10,11.3699
2020-12-11,11.3699
2020-12-12,11.3699
2020-12-13,11.3699
2020-12-14,11.3699
2020-12-15,11.3699
2020-12-16,11.3699
2020-12-17,11.3699
2020-12-18,11.3699
2020-12-19,11.3699
2020-12-20,11.3699
2020-12-21,11.3699
2020-12-22,11.3699
2020-12-23,11.3699
2020-12-24,11.3699
2020-12-25,11.3699
2020-12-26,11.3699
2020-12-27,11.3699
2020-12-28,11.3699
2020-12-29,11.3699
2020-12-30,11.3699
2020-12-31,9.2686
2021-01-01,9.2686
2021-01-02,9.2686
2021-01-03,9.2686
2021-01-04,9.2686
2021-01-05,9.2686
2021-01-06,9.2686
2021-01-07,9.2686
2021-01-08,9.2686
2021-01-09,9.2686
2021-01-10,9.2686
2021-01-11,9.2686
2021-01-12,9.2686
2021-01-13,9.2686
2021-01-14,9.2686
2021-01-15,9.2686
2021-01-16,9.2686
2021-01-17,9.2686
2021-01-18,9.2686
2021-01-19,9.2686
2021-01-20,9.2686
2021-01-21,9.2686
2021-01-22,9.2686
2021-01-23,9.2686
2021-01-24,9.2686
2021-01-25,9.2686
2021-01-26,9.2686
2021-01-27,9.2686
2021-01-28,9.2686
2021-01-29,9.2686
2021-01-30,9.2686
2021-01-31,9.2686
2021-02-01,9.2686
2021-02-02,9.2686
2021-02-03,9.2686
2021-02-04,9.2686
2021-02-05,9.2686
2021-02-06,9.2686
2021-02-07,9.2686
2021-02-08,9.2686
2021-02-09,9.2686
2021-02-10,9.2686
2021-02-11,9.2686
2021-02-12,9.2686
2021-02-13,9.2686
2021-02-14,9.2686
2021-02-15,9.2686
2021-02-16,9.2686
2021-02-17,9.2686
2021-02-18,9.2686
2021-02-19,9.2686
2021-02-20,9.2686
2021-02-21,9.2686
2021-02-22,9.2686
2021-02-23,9.2686
2021-02-24,9.2686
2021-02-25,9.2686
2021-02-26,9.2686
2021-02-27,9.2686
2021-02-28,9.2686
2021-03-01,9.2686
2021-03-02,9.2686
2021-03-03,9.2686
2021-03-04,9.2686
2021-03-05,9.2686
2021-03-06,9.2686
2021-03-07,9.2686
2021-03-08,9.2686
2021-03-09,9.2686
2021-03-10,9.2686
2021-03-11,9.2686
2021-03-12,9.2686
2021-03-13,9.2686
2021-03-14,9.2686
2021-03-15,9.2686
2021-03-16,9.2686
2021-03-17,9.2686
2021-03-18,9.2686
2021-03-19,9.2686
2021-03-20,9.2686
2021-03-21,9.2686
2021-03-22,9.2686
2021-03-23,9.2686
2021-03-24,9.2686
2021-03-25,9.2686
2021-03-26,9.2686
2021-03-27,9.2686
2021-03-28,9.2686
2021-03-29,9.2686
2021-03-30,9.2686
2021-03-31,11.2413
2021-04-01,11.2413
2021-04-02,11.2413
2021-04-03,11.2413
2021-04-04,11.2413
2021-04-05,11.2413
2021-04-06,11.2413
2021-04-07,11.2413
2021-04-08,11.2413
2021-04-09,11.2413
2021-04-10,11.2413
2021-04-11,11.2413
2021-04-12,11.2413
2021-04-13,11.2413
2021-04-14,11.2413
2021-04-15,11.2413
2021-04-16,11.2413
2021-04-17,11.2413
2021-04-18,11.2413
2021-04-19,11.2413
2021-04-20,11.2413
2021-04-21,11.2413
2021-04-22,11.2413
2021-04-23,11.2413
2021-04-24,11.2413
2021-04-25,11.2413
2021-04-26,11.2413
2021-04-27,11.2413
2021-04-28,11.2413
2021-04-29,11.2413
2021-04-30,11.2413
2021-05-01,11.2413
2021-05-02,11.2413
2021-05-03,11.2413
2021-05-04,11.2413
2021-05-05,11.2413
2021-05-06,11.2413
2021-05-07,11.2413
2021-05-08,11.2413
2021-05-09,11.2413
2021-05-10,11.2413
2021-05-11,11.2413
2021-05-12,11.2413
2021-05-13,11.2413
2021-05-14,11.2413
2021-05-15,11.2413
2021-05-16,11.2413
2021-05-17,11.2413
2021-05-18,11.2413
2021-05-19,11.2413
2021-05-20,11.2413
2021-05-21,11.2413
2021-05-22,11.2413
2021-05-23,11.2413
2021-05-24,11.2413
2021-05-25,11.2413
2021-05-26,11.2413
2021-05-27,11.2413
2021-05-28,11.2413
2021-05-29,11.2413
2021-05-30,11.2413
2021-05-31,11.2413
2021-06-01,11.2413
2021-06-02,11.2413
2021-06-03,11.2413
2021-06-04,11.2413
2021-06-05,11.2413
2021-06-06,11.2413
2021-06-07,11.2413
2021-06-08,11.2413
2021-06-09,11.2413
2021-06-10,11.2413
2021-06-11,11.2413
2021-06-12,11.2413
2021-06-13,11.2413
2021-06-14,11.2413
2021-06-15,11.2413
2021-06-16,11.2413
2021-06-17,11.2413
2021-06-18,11.2413
2021-06-19,11.2413
2021-06-20,11.2413
2021-06-21,11.2413
2021-06-22,11.2413
2021-06-23,11.2413
2021-06-24,11.2413
2021-06-25,11.2413
2021-06-26,11.2413
2021-06-27,11.2413
2021-06-28,11.2413
2021-06-29,11.2413
2021-06-30,10.6657
2021-07-01,10.6657
2021-07-02,10.6657
2021-07-03,10.6657
2021-07-04,10.6657
2021-07-05,10.6657
2021-07-06,10.6657
2021-07-07,10.6657
2021-07-08,10.6657
2021-07-09,10.6657
2021-07-10,10.6657
2021-07-11,10.6657
2021-07-12,10.6657
2021-07-13,10.6657
2021-07-14,10.6657
2021-07-15,10.6657
2021-07-16,10.6657
2021-07-17,10.6657
2021-07-18,10.6657
2021-07-19,10.6657
2021-07-20,10.6657
2021-07-21,10.6657
2021-07-22,10.6657
2021-07-23,10.6657
2021-07-24,10.6657
2021-07-25,10.6657
2021-07-26,10.6657
2021-07-27,10.6657
2021-07-28,10.6657
2021-07-29,10.6657
2021-07-30,10.6657
2021-07-31,10.6657
2021-08-01,10.6657
2021-08-02,10.6657
2021-08-03,10.6657
2021-08-04,10.6657
2021-08-05,10.6657
2021-08-06,10.6657
2021-08-07,10.6657
2021-08-08,10.6657
2021-08-09,10.6657
2021-08-10,10.6657
2021-08-11,10.6657
2021-08-12,10.6657
2021-08-13,10.6657
2021-08-14,10.6657
2021-08-15,10.6657
2021-08-16,10.6657
2021-08-17,10.6657
2021-08-18,10.6657
2021-08-19,10.6657
2021-08-20,10.6657
2021-08-21,10.6657
2021-08-22,10.6657
2021-08-23,10.6657
2021-08-24,10.6657
2021-08-25,10.6657
2021-08-26,10.6657
2021-08-27,10.6657
2021-08-28,10.6657
2021-08-29,10.6657
2021-08-30,10.6657
2021-08-31,10.6657
2021-09-01,10.6657
2021-09-02,10.6657
2021-09-03,10.6657
2021-09-04,10.6657
2021-09-05,10.6657
2021-09-06,10.6657
2021-09-07,10.6657
2021-09-08,10.6657
2021-09-09,10.6657
2021-09-10,10.6657
2021-09-11,10.6657
2021-09-12,10.6657
2021-09-13,10.6657
2021-09-14,10.6657
2021-09-15,10.6657
2021-09-16,10.6657
2021-09-17,10.6657
2021-09-18,10.6657
2021-09-19,10.6657
2021-09-20,10.6657
2021-09-21,10.6657
2021-09-22,10.6657
2021-09-23,10.6657
2021-09-24,10.6657
2021-09-25,10.6657
2021-09-26,10.6657
2021-09-27,10.6657
2021-09-28,10.6657
2021-09-29,10.6657
2021-09-30,9.8711
2021-10-01,9.8711
2021-10-02,9.8711
2021-10-03,9.8711
2021-10-04,9.8711
2021-10-05,9.8711
2021-10-06,9.8711
2021-10-07,9.8711
2021-10-08,9.8711
2021-10-09,9.8711
2021-10-10,9.8711
2021-10-11,9.8711
2021-10-12,9.8711
2021-10-13,9.8711
2021-10-14,9.8711
2021-10-15,9.8711
2021-10-16,9.8711
2021-10-17,9.8711
2021-10-18,9.8711
2021-10-19,9.8711
2021-10-20,9.8711
2021-10-21,9.8711
2021-10-22,9.8711
2021-10-23,9.8711
2021-10-24,9.8711
2021-10-25,9.8711
2021-10-26,9.8711
2021-10-27,9.8711
2021-10-28,9.8711
2021-10-29,9.8711
2021-10-30,9.8711
2021-10-31,9.8711
2021-11-01,9.8711
2021-11-02,9.8711
2021-11-03,9.8711
2021-11-04,9.8711
2021-11-05,9.8711
2021-11-06,9.8711
2021-11-07,9.8711
2021-11-08,9.8711
2021-11-09,9.8711
2021-11-10,9.8711
2021-11-11,9.8711
2021-11-12,9.8711
2021-11-13,9.8711
2021-11-14,9.8711
2021-11-15,9.8711
2021-11-16,9.8711
2021-11-17,9.8711
2021-11-18,9.8711
2021-11-19,9.8711
2021-11-20,9.8711
2021-11-21,9.8711
2021-11-22,9.8711
2021-11-23,9.8711
2021-11-24,9.8711
2021-11-25,9.8711
2021-11-26,9.8711
2021-11-27,9.8711
2021-11-28,9.8711
2021-11-29,9.8711
2021-11-30,9.8711
2021-12-01,9.8711
2021-12-02,9.8711
2021-12-03,9.8711
2021-12-04,9.8711
2021-12-05,9.8711
2021-12-06,9.8711
2021-12-07,9.8711
2021-12-08,9.8711
2021-12-09,9.8711
2021-12-10,9.8711
2021-12-11,9.8711
2021-12-12,9.8711
2021-12-13,9.8711
2021-12-14,9.8711
2021-12-15,9.8711
2021-12-16,9.8711
2021-12-17,9.8711
2021-12-18,9.8711
2021-12-19,9.8711
2021-12-20,9.8711
2021-12-21,9.8711
2021-12-22,9.8711
2021-12-23,9.8711
2021-12-24,9.8711
2021-12-25,9.8711
2021-12-26,9.8711
2021-12-27,9.8711
2021-12-28,9.8711
2021-12-29,9.8711
2021-12-30,9.8711
2021-12-31,9.2876
2022-01-01,9.2876
2022-01-02,9.2876
2022-01-03,9.2876
2022-01-04,9.2876
2022-01-05,9.2876
2022-01-06,9.2876
2022-01-07,9.2876
2022-01-08,9.2876
2022-01-09,9.2876
2022-01-10,9.2876
2022-01-11,9.2876
2022-01-12,9.2876
2022-01-13,9.2876
2022-01-14,9.2876
2022-01-15,9.2876
2022-01-16,9.2876
2022-01-17,9.2876
2022-01-18,9.2876
2022-01-19,9.2876
2022-01-20,9.2876
2022-01-21,9.2876
2022-01-22,9.2876
2022-01-23,9.2876
2022-01-24,9.2876
2022-01-25,9.2876
2022-01-26,9.2876
2022-01-27,9.2876
2022-01-28,9.2876
2022-01-29,9.2876
2022-01-30,9.2876
2022-01-31,9.2876
2022-02-01,9.2876
2022-02-02,9.2876
2022-02-03,9.2876
2022-02-04,9.2876
2022-02-05,9.2876
2022-02-06,9.2876
2022-02-07,9.2876
2022-02-08,9.2876
2022-02-09,9.2876
2022-02-10,9.2876
2022-02-11,9.2876
2022-02-12,9.2876
2022-02-13,9.2876
2022-02-14,9.2876
2022-02-15,9.2876
2022-02-16,9.2876
2022-02-17,9.2876
2022-02-18,9.2876
2022-02-19,9.2876
2022-02-20,9.2876
2022-02-21,9.2876
2022-02-22,9.2876
2022-02-23,9.2876
2022-02-24,9.2876
2022-02-25,9.2876
2022-02-26,9.2876
2022-02-27,9.2876
2022-02-28,9.2876
2022-03-01,9.2876
2022-03-02,9.2876
2022-03-03,9.2876
2022-03-04,9.2876
2022-03-05,9.2876
2022-03-06,9.2876
2022-03-07,9.2876
2022-03-08,9.2876
2022-03-09,9.2876
2022-03-10,9.2876
2022-03-11,9.2876
2022-03-12,9.2876
2022-03-13,9.2876
2022-03-14,9.2876
2022-03-15,9.2876
2022-03-16,9.2876
2022-03-17,9.2876
2022-03-18,9.2876
2022-03-19,9.2876
2022-03-20,9.2876
2022-03-21,9.2876
2022-03-22,9.2876
2022-03-23,9.2876
2022-03-24,9.2876
2022-03-25,9.2876
2022-03-26,9.2876
2022-03-27,9.2876
2022-03-28,9.2876
2022-03-29,9.2876
2022-03-30,9.2876
2022-03-31,9.3689
2022-04-01,9.3689
2022-04-02,9.3689
2022-04-03,9.3689
2022-04-04,9.3689
2022-04-05,9.3689
2022-04-06,9.3689
2022-04-07,9.3689
2022-04-08,9.3689
2022-04-09,9.3689
2022-04-10,9.3689
2022-04-11,9.3689
2022-04-12,9.3689
2022-04-13,9.3689
2022-04-14,9.3689
2022-04-15,9.3689
2022-04-16,9.3689
2022-04-17,9.3689
2022-04-18,9.3689
2022-04-19,9.3689
2022-04-20,9.3689
2022-04-21,9.3689
2022-04-22,9.3689
2022-04-23,9.3689
2022-04-24,9.3689
2022-04-25,9.3689
2022-04-26,9.3689
2022-04-27,9.3689
2022-04-28,9.3689
2022-04-29,9.3689
2022-04-30,9.3689
2022-05-01,9.3689
2022-05-02,9.3689
2022-05-03,9.3689
2022-05-04,9.3689
2022-05-05,9.3689
2022-05-06,9.3689
2022-05-07,9.3689
2022-05-08,9.3689
2022-05-09,9.3689
2022-05-10,9.3689
2022-05-11,9.3689
2022-05-12,9.3689
2022-05-13,9.3689
2022-05-14,9.3689
2022-05-15,9.3689
2022-05-16,9.3689
2022-05-17,9.3689
2022-05-18,9.3689
2022-05-19,9.3689
2022-05-20,9.3689
2022-05-21,9.3689
2022-05-22,9.3689
2022-05-23,9.3689
2022-05-24,9.3689
2022-05-25,9.3689
2022-05-26,9.3689
2022-05-27,9.3689
2022-05-28,9.3689
2022-05-29,9.3689
2022-05-30,9.3689
2022-05-31,9.3689
2022-06-01,9.3689
2022-06-02,9.3689
2022-06-03,9.3689
2022-06-04,9.3689
2022-06-05,9.3689
2022-06-06,9.3689
2022-06-07,9.3689
2022-06-08,9.3689
2022-06-09,9.3689
2022-06-10,9.3689
2022-06-11,9.3689
2022-06-12,9.3689
2022-06-13,9.3689
2022-06-14,9.3689
2022-06-15,9.3689
2022-06-16,9.3689
2022-06-17,9.3689
2022-06-18,9.3689
2022-06-19,9.3689
2022-06-20,9.3689
2022-06-21,9.3689
2022-06-22,9.3689
2022-06-23,9.3689
2022-06-24,9.3689
2022-06-25,9.3689
2022-06-26,9.3689
2022-06-27,9.3689
2022-06-28,9.3689
2022-06-29,9.3689
2022-06-30,7.3887
2022-07-01,7.3887
2022-07-02,7.3887
2022-07-03,7.3887
2022-07-04,7.3887
2022-07-05,7.3887
2022-07-06,7.3887
2022-07-07,7.3887
2022-07-08,7.3887
2022-07-09,7.3887
2022-07-10,7.3887
2022-07-11,7.3887
2022-07-12,7.3887
2022-07-13,7.3887
2022-07-14,7.3887
2022-07-15,7.3887
2022-07-16,7.3887
2022-07-17,7.3887
2022-07-18,7.3887
2022-07-19,7.3887
2022-07-20,7.3887
2022-07-21,7.3887
2022-07-22,7.3887
2022-07-23,7.3887
2022-07-24,7.3887
2022-07-25,7.3887
2022-07-26,7.3887
2022-07-27,7.3887
2022-07-28,7.3887
2022-07-29,7.3887
2022-07-30,7.3887
2022-07-31,7.3887
2022-08-01,7.3887
2022-08-02,7.3887
2022-08-03,7.3887
2022-08-04,7.3887
2022-08-05,7.3887
2022-08-06,7.3887
2022-08-07,7.3887
2022-08-08,7.3887
2022-08-09,7.3887
2022-08-10,7.3887
2022-08-11,7.3887
2022-08-12,7.3887
2022-08-13,7.3887
2022-08-14,7.3887
2022-08-15,7.3887
2022-08-16,7.3887
2022-08-17,7.3887
2022-08-18,7.3887
2022-08-19,7.3887
2022-08-20,7.3887
2022-08-21,7.3887
2022-08-22,7.3887
2022-08-23,7.3887
2022-08-24,7.3887
2022-08-25,7.3887
2022-08-26,7.3887
2022-08-27,7.3887
2022-08-28,7.3887
2022-08-29,7.3887
2022-08-30,7.3887
2022-08-31,7.3887
2022-09-01,7.3887
2022-09-02,7.3887
2022-09-03,7.3887
2022-09-04,7.3887
2022-09-05,7.3887
2022-09-06,7.3887
2022-09-07,7.3887
2022-09-08,7.3887
2022-09-09,7.3887
2022-09-10,7.3887
2022-09-11,7.3887
2022-09-12,7.3887
2022-09-13,7.3887
2022-09-14,7.3887
2022-09-15,7.3887
2022-09-16,7.3887
2022-09-17,7.3887
2022-09-18,7.3887
2022-09-19,7.3887
2022-09-20,7.3887
2022-09-21,7.3887
2022-09-22,7.3887
2022-09-23,7.3887
2022-09-24,7.3887
2022-09-25,7.3887
2022-09-26,7.3887
2022-09-27,7.3887
2022-09-28,7.3887
2022-09-29,7.3887
2022-09-30,7.592
2022-10-01,7.592
2022-10-02,7.592
2022-10-03,7.592
2022-10-04,7.592
2022-10-05,7.592
2022-10-06,7.592
2022-10-07,7.592
2022-10-08,7.592
2022-10-09,7.592
2022-10-10,7.592
2022-10-11,7.592
2022-10-12,7.592
2022-10-13,7.592
2022-10-14,7.592
2022-10-15,7.592
2022-10-16,7.592
2022-10-17,7.592
2022-10-18,7.592
2022-10-19,7.592
2022-10-20,7.592
2022-10-21,7.592
2022-10-22,7.592
2022-10-23,7.592
2022-10-24,7.592
2022-10-25,7.592
2022-10-26,7.592
2022-10-27,7.592
2022-10-28,7.592
2022-10-29,7.592
2022-10-30,7.592
2022-10-31,7.592
2022-11-01,7.592
2022-11-02,7.592
2022-11-03,7.592
2022-11-04,7.592
2022-11-05,7.592
2022-11-06,7.592
2022-11-07,7.592
2022-11-08,7.592
2022-11-09,7.592
2022-11-10,7.592
2022-11-11,7.592
2022-11-12,7.592
2022-11-13,7.592
2022-11-14,7.592
2022-11-15,7.592
2022-11-16,7.592
2022-11-17,7.592
2022-11-18,7.592
2022-11-19,7.592
2022-11-20,7.592
2022-11-21,7.592
2022-11-22,7.592
2022-11-23,7.592
2022-11-24,7.592
2022-11-25,7.592
2022-11-26,7.592
2022-11-27,7.592
2022-11-28,7.592
2022-11-29,7.592
2022-11-30,7.592
2022-12-01,7.592
2022-12-02,7.592
2022-12-03,7.592
2022-12-04,7.592
2022-12-05,7.592
2022-12-06,7.592
2022-12-07,7.592
2022-12-08,7.592
2022-12-09,7.592
2022-12-10,7.592
2022-12-11,7.592
2022-12-12,7.592
2022-12-13,7.592
2022-12-14,7.592
2022-12-15,7.592
2022-12-16,7.592
2022-12-17,7.592
2022-12-18,7.592
2022-12-19,7.592
2022-12-20,7.592
2022-12-21,7.592
2022-12-22,7.592
2022-12-23,7.592
2022-12-24,7.592
2022-12-25,7.592
2022-12-26,7.592
2022-12-27,7.592
2022-12-28,7.592
2022-12-29,7.592
2022-12-30,7.592
2022-12-31,7.7776
2023-01-01,7.7776
2023-01-02,7.7776
2023-01-03,7.7776
2023-01-04,7.7776
2023-01-05,7.7776
2023-01-06,7.7776
2023-01-07,7.7776
2023-01-08,7.7776
2023-01-09,7.7776
2023-01-10,7.7776
2023-01-11,7.7776
2023-01-12,7.7776
2023-01-13,7.7776
2023-01-14,7.7776
2023-01-15,7.7776
2023-01-16,7.7776
2023-01-17,7.7776
2023-01-18,7.7776
2023-01-19,7.7776
2023-01-20,7.7776
2023-01-21,7.7776
2023-01-22,7.7776
2023-01-23,7.7776
2023-01-24,7.7776
2023-01-25,7.7776
2023-01-26,7.7776
2023-01-27,7.7776
2023-01-28,7.7776
2023-01-29,7.7776
2023-01-30,7.7776
2023-01-31,7.7776
2023-02-01,7.7776
2023-02-02,7.7776
2023-02-03,7.7776
2023-02-04,7.7776
2023-02-05,7.7776
2023-02-06,7.7776
2023-02-07,7.7776
2023-02-08,7.7776
2023-02-09,7.7776
2023-02-10,7.7776
2023-02-11,7.7776
2023-02-12,7.7776
2023-02-13,7.7776
2023-02-14,7.7776
2023-02-15,7.7776
2023-02-16,7.7776
2023-02-17,7.7776
2023-02-18,7.7776
2023-02-19,7.7776
2023-02-20,7.7776
2023-02-21,7.7776
2023-02-22,7.7776
2023-02-23,7.7776
2023-02-24,7.7776
2023-02-25,7.7776
2023-02-26,7.7776
2023-02-27,7.7776
2023-02-28,7.7776
2023-03-01,7.7776
2023-03-02,7.7776
2023-03-03,7.7776
2023-03-04,7.7776
2023-03-05,7.7776
2023-03-06,7.7776
2023-03-07,7.7776
2023-03-08,7.7776
2023-03-09,7.7776
2023-03-10,7.7776
2023-03-11,7.7776
2023-03-12,7.7776
2023-03-13,7.7776
2023-03-14,7.7776
2023-03-15,7.7776
2023-03-16,7.7776
2023-03-17,7.7776
2023-03-18,7.7776
2023-03-19,7.7776
2023-03-20,7.7776
2023-03-21,7.7776
2023-03-22,7.7776
2023-03-23,7.7776
2023-03-24,7.7776
