,FLO US Equity
2023-03-16,16.002
2023-03-17,16.002
2023-03-18,16.002
2023-03-19,16.002
2023-03-20,16.002
2023-03-21,16.002
2023-03-22,16.002
2023-03-23,16.002
2023-03-24,16.002
2023-03-25,16.002
2023-03-26,16.002
2023-03-27,16.002
2023-03-28,16.002
2023-03-29,16.002
2023-03-30,16.002
2023-03-31,16.002
2023-04-01,16.002
2023-04-02,16.002
2023-04-03,16.002
2023-04-04,16.002
2023-04-05,16.002
2023-04-06,16.002
2023-04-07,16.002
2023-04-08,16.002
2023-04-09,16.002
2023-04-10,16.002
2023-04-11,16.002
2023-04-12,16.002
2023-04-13,16.002
2023-04-14,16.002
2023-04-15,16.002
2023-04-16,16.002
2023-04-17,16.002
2023-04-18,16.002
2023-04-19,16.002
2023-04-20,16.002
2023-04-21,16.002
2023-04-22,14.6192
2023-04-23,14.6192
2023-04-24,14.6192
2023-04-25,14.6192
2023-04-26,14.6192
2023-04-27,14.6192
2023-04-28,14.6192
2023-04-29,14.6192
2023-04-30,14.6192
2023-05-01,14.6192
2023-05-02,14.6192
2023-05-03,14.6192
2023-05-04,14.6192
2023-05-05,14.6192
2023-05-06,14.6192
2023-05-07,14.6192
2023-05-08,14.6192
2023-05-09,14.6192
2023-05-10,14.6192
2023-05-11,14.6192
2023-05-12,14.6192
2023-05-13,14.6192
2023-05-14,14.6192
2023-05-15,14.6192
2023-05-16,14.6192
2023-05-17,14.6192
2023-05-18,14.6192
2023-05-19,14.6192
2023-05-20,14.6192
2023-05-21,14.6192
2023-05-22,14.6192
2023-05-23,14.6192
2023-05-24,14.6192
2023-05-25,14.6192
2023-05-26,14.6192
2023-05-27,14.6192
2023-05-28,14.6192
2023-05-29,14.6192
2023-05-30,14.6192
2023-05-31,14.6192
2023-06-01,14.6192
2023-06-02,14.6192
2023-06-03,14.6192
2023-06-04,14.6192
2023-06-05,14.6192
2023-06-06,14.6192
2023-06-07,14.6192
2023-06-08,14.6192
2023-06-09,14.6192
2023-06-10,14.6192
2023-06-11,14.6192
2023-06-12,14.6192
2023-06-13,14.6192
2023-06-14,14.6192
2023-06-15,14.6192
2023-06-16,14.6192
2023-06-17,14.6192
2023-06-18,14.6192
2023-06-19,14.6192
2023-06-20,14.6192
2023-06-21,14.6192
2023-06-22,14.6192
2023-06-23,14.6192
2023-06-24,14.6192
2023-06-25,14.6192
2023-06-26,14.6192
2023-06-27,14.6192
2023-06-28,14.6192
2023-06-29,14.6192
2023-06-30,14.6192
2023-07-01,14.6192
2023-07-02,14.6192
2023-07-03,14.6192
2023-07-04,14.6192
2023-07-05,14.6192
2023-07-06,14.6192
2023-07-07,14.6192
2023-07-08,14.6192
2023-07-09,14.6192
2023-07-10,14.6192
2023-07-11,14.6192
2023-07-12,14.6192
2023-07-13,14.6192
2023-07-14,14.6192
2023-07-15,15.3276
2023-07-16,15.3276
2023-07-17,15.3276
2023-07-18,15.3276
2023-07-19,15.3276
2023-07-20,15.3276
2023-07-21,15.3276
2023-07-22,15.3276
2023-07-23,15.3276
2023-07-24,15.3276
2023-07-25,15.3276
2023-07-26,15.3276
2023-07-27,15.3276
2023-07-28,15.3276
2023-07-29,15.3276
2023-07-30,15.3276
2023-07-31,15.3276
2023-08-01,15.3276
2023-08-02,15.3276
2023-08-03,15.3276
2023-08-04,15.3276
2023-08-05,15.3276
2023-08-06,15.3276
2023-08-07,15.3276
2023-08-08,15.3276
2023-08-09,15.3276
2023-08-10,15.3276
2023-08-11,15.3276
2023-08-12,15.3276
2023-08-13,15.3276
2023-08-14,15.3276
2023-08-15,15.3276
2023-08-16,15.3276
2023-08-17,15.3276
2023-08-18,15.3276
2023-08-19,15.3276
2023-08-20,15.3276
2023-08-21,15.3276
2023-08-22,15.3276
2023-08-23,15.3276
2023-08-24,15.3276
2023-08-25,15.3276
2023-08-26,15.3276
2023-08-27,15.3276
2023-08-28,15.3276
2023-08-29,15.3276
2023-08-30,15.3276
2023-08-31,15.3276
2023-09-01,15.3276
2023-09-02,15.3276
2023-09-03,15.3276
2023-09-04,15.3276
2023-09-05,15.3276
2023-09-06,15.3276
2023-09-07,15.3276
2023-09-08,15.3276
2023-09-09,15.3276
2023-09-10,15.3276
2023-09-11,15.3276
2023-09-12,15.3276
2023-09-13,15.3276
2023-09-14,15.3276
2023-09-15,15.3276
2023-09-16,15.3276
2023-09-17,15.3276
2023-09-18,15.3276
2023-09-19,15.3276
2023-09-20,15.3276
2023-09-21,15.3276
2023-09-22,15.3276
2023-09-23,15.3276
2023-09-24,15.3276
2023-09-25,15.3276
2023-09-26,15.3276
2023-09-27,15.3276
2023-09-28,15.3276
2023-09-29,15.3276
2023-09-30,15.3276
2023-10-01,15.3276
2023-10-02,15.3276
2023-10-03,15.3276
2023-10-04,15.3276
2023-10-05,15.3276
2023-10-06,15.3276
2023-10-07,9.7057
2023-10-08,9.7057
2023-10-09,9.7057
2023-10-10,9.7057
2023-10-11,9.7057
2023-10-12,9.7057
2023-10-13,9.7057
2023-10-14,9.7057
2023-10-15,9.7057
2023-10-16,9.7057
2023-10-17,9.7057
2023-10-18,9.7057
2023-10-19,9.7057
2023-10-20,9.7057
2023-10-21,9.7057
2023-10-22,9.7057
2023-10-23,9.7057
2023-10-24,9.7057
2023-10-25,9.7057
2023-10-26,9.7057
2023-10-27,9.7057
2023-10-28,9.7057
2023-10-29,9.7057
2023-10-30,9.7057
2023-10-31,9.7057
2023-11-01,9.7057
2023-11-02,9.7057
2023-11-03,9.7057
2023-11-04,9.7057
2023-11-05,9.7057
2023-11-06,9.7057
2023-11-07,9.7057
2023-11-08,9.7057
2023-11-09,9.7057
2023-11-10,9.7057
2023-11-11,9.7057
2023-11-12,9.7057
2023-11-13,9.7057
2023-11-14,9.7057
2023-11-15,9.7057
2023-11-16,9.7057
2023-11-17,9.7057
2023-11-18,9.7057
2023-11-19,9.7057
2023-11-20,9.7057
2023-11-21,9.7057
2023-11-22,9.7057
2023-11-23,9.7057
2023-11-24,9.7057
2023-11-25,9.7057
2023-11-26,9.7057
2023-11-27,9.7057
2023-11-28,9.7057
2023-11-29,9.7057
2023-11-30,9.7057
2023-12-01,9.7057
2023-12-02,9.7057
2023-12-03,9.7057
2023-12-04,9.7057
2023-12-05,9.7057
2023-12-06,9.7057
2023-12-07,9.7057
2023-12-08,9.7057
2023-12-09,9.7057
2023-12-10,9.7057
2023-12-11,9.7057
2023-12-12,9.7057
2023-12-13,9.7057
2023-12-14,9.7057
2023-12-15,9.7057
2023-12-16,9.7057
2023-12-17,9.7057
2023-12-18,9.7057
2023-12-19,9.7057
2023-12-20,9.7057
2023-12-21,9.7057
2023-12-22,9.7057
2023-12-23,9.7057
2023-12-24,9.7057
2023-12-25,9.7057
2023-12-26,9.7057
2023-12-27,9.7057
2023-12-28,9.7057
2023-12-29,9.7057
2023-12-30,8.831
2023-12-31,8.831
2024-01-01,8.831
2024-01-02,8.831
2024-01-03,8.831
2024-01-04,8.831
2024-01-05,8.831
2024-01-06,8.831
2024-01-07,8.831
2024-01-08,8.831
2024-01-09,8.831
2024-01-10,8.831
2024-01-11,8.831
2024-01-12,8.831
2024-01-13,8.831
2024-01-14,8.831
2024-01-15,8.831
2024-01-16,8.831
2024-01-17,8.831
2024-01-18,8.831
2024-01-19,8.831
2024-01-20,8.831
2024-01-21,8.831
2024-01-22,8.831
2024-01-23,8.831
2024-01-24,8.831
2024-01-25,8.831
2024-01-26,8.831
2024-01-27,8.831
2024-01-28,8.831
2024-01-29,8.831
2024-01-30,8.831
2024-01-31,8.831
2024-02-01,8.831
2024-02-02,8.831
2024-02-03,8.831
2024-02-04,8.831
2024-02-05,8.831
2024-02-06,8.831
2024-02-07,8.831
2024-02-08,8.831
2024-02-09,8.831
2024-02-10,8.831
2024-02-11,8.831
2024-02-12,8.831
2024-02-13,8.831
2024-02-14,8.831
2024-02-15,8.831
2024-02-16,8.831
2024-02-17,8.831
2024-02-18,8.831
2024-02-19,8.831
2024-02-20,8.831
2024-02-21,8.831
2024-02-22,8.831
2024-02-23,8.831
2024-02-24,8.831
2024-02-25,8.831
2024-02-26,8.831
2024-02-27,8.831
2024-02-28,8.831
2024-02-29,8.831
2024-03-01,8.831
2024-03-02,8.831
2024-03-03,8.831
2024-03-04,8.831
2024-03-05,8.831
2024-03-06,8.831
2024-03-07,8.831
2024-03-08,8.831
2024-03-09,8.831
2024-03-10,8.831
2024-03-11,8.831
2024-03-12,8.831
2024-03-13,8.831
2024-03-14,8.831
2024-03-15,8.831
2024-03-16,8.831
2024-03-17,8.831
2024-03-18,8.831
2024-03-19,8.831
2024-03-20,8.831
2024-03-21,8.831
2024-03-22,8.831
2024-03-23,8.831
2024-03-24,8.831
2024-03-25,8.831
2024-03-26,8.831
2024-03-27,8.831
2024-03-28,8.831
2024-03-29,8.831
2024-03-30,8.831
2024-03-31,8.831
2024-04-01,8.831
2024-04-02,8.831
2024-04-03,8.831
2024-04-04,8.831
2024-04-05,8.831
2024-04-06,8.831
2024-04-07,8.831
2024-04-08,8.831
