,GATX US Equity
2020-09-06,10.1453
2020-09-07,10.1453
2020-09-08,10.1453
2020-09-09,10.1453
2020-09-10,10.1453
2020-09-11,10.1453
2020-09-12,10.1453
2020-09-13,10.1453
2020-09-14,10.1453
2020-09-15,10.1453
2020-09-16,10.1453
2020-09-17,10.1453
2020-09-18,10.1453
2020-09-19,10.1453
2020-09-20,10.1453
2020-09-21,10.1453
2020-09-22,10.1453
2020-09-23,10.1453
2020-09-24,10.1453
2020-09-25,10.1453
2020-09-26,10.1453
2020-09-27,10.1453
2020-09-28,10.1453
2020-09-29,10.1453
2020-09-30,10.2785
2020-10-01,10.2785
2020-10-02,10.2785
2020-10-03,10.2785
2020-10-04,10.2785
2020-10-05,10.2785
2020-10-06,10.2785
2020-10-07,10.2785
2020-10-08,10.2785
2020-10-09,10.2785
2020-10-10,10.2785
2020-10-11,10.2785
2020-10-12,10.2785
2020-10-13,10.2785
2020-10-14,10.2785
2020-10-15,10.2785
2020-10-16,10.2785
2020-10-17,10.2785
2020-10-18,10.2785
2020-10-19,10.2785
2020-10-20,10.2785
2020-10-21,10.2785
2020-10-22,10.2785
2020-10-23,10.2785
2020-10-24,10.2785
2020-10-25,10.2785
2020-10-26,10.2785
2020-10-27,10.2785
2020-10-28,10.2785
2020-10-29,10.2785
2020-10-30,10.2785
2020-10-31,10.2785
2020-11-01,10.2785
2020-11-02,10.2785
2020-11-03,10.2785
2020-11-04,10.2785
2020-11-05,10.2785
2020-11-06,10.2785
2020-11-07,10.2785
2020-11-08,10.2785
2020-11-09,10.2785
2020-11-10,10.2785
2020-11-11,10.2785
2020-11-12,10.2785
2020-11-13,10.2785
2020-11-14,10.2785
2020-11-15,10.2785
2020-11-16,10.2785
2020-11-17,10.2785
2020-11-18,10.2785
2020-11-19,10.2785
2020-11-20,10.2785
2020-11-21,10.2785
2020-11-22,10.2785
2020-11-23,10.2785
2020-11-24,10.2785
2020-11-25,10.2785
2020-11-26,10.2785
2020-11-27,10.2785
2020-11-28,10.2785
2020-11-29,10.2785
2020-11-30,10.2785
2020-12-01,10.2785
2020-12-02,10.2785
2020-12-03,10.2785
2020-12-04,10.2785
2020-12-05,10.2785
2020-12-06,10.2785
2020-12-07,10.2785
2020-12-08,10.2785
2020-12-09,10.2785
2020-12-10,10.2785
2020-12-11,10.2785
2020-12-12,10.2785
2020-12-13,10.2785
2020-12-14,10.2785
2020-12-15,10.2785
2020-12-16,10.2785
2020-12-17,10.2785
2020-12-18,10.2785
2020-12-19,10.2785
2020-12-20,10.2785
2020-12-21,10.2785
2020-12-22,10.2785
2020-12-23,10.2785
2020-12-24,10.2785
2020-12-25,10.2785
2020-12-26,10.2785
2020-12-27,10.2785
2020-12-28,10.2785
2020-12-29,10.2785
2020-12-30,10.2785
2020-12-31,8.0264
2021-01-01,8.0264
2021-01-02,8.0264
2021-01-03,8.0264
2021-01-04,8.0264
2021-01-05,8.0264
2021-01-06,8.0264
2021-01-07,8.0264
2021-01-08,8.0264
2021-01-09,8.0264
2021-01-10,8.0264
2021-01-11,8.0264
2021-01-12,8.0264
2021-01-13,8.0264
2021-01-14,8.0264
2021-01-15,8.0264
2021-01-16,8.0264
2021-01-17,8.0264
2021-01-18,8.0264
2021-01-19,8.0264
2021-01-20,8.0264
2021-01-21,8.0264
2021-01-22,8.0264
2021-01-23,8.0264
2021-01-24,8.0264
2021-01-25,8.0264
2021-01-26,8.0264
2021-01-27,8.0264
2021-01-28,8.0264
2021-01-29,8.0264
2021-01-30,8.0264
2021-01-31,8.0264
2021-02-01,8.0264
2021-02-02,8.0264
2021-02-03,8.0264
2021-02-04,8.0264
2021-02-05,8.0264
2021-02-06,8.0264
2021-02-07,8.0264
2021-02-08,8.0264
2021-02-09,8.0264
2021-02-10,8.0264
2021-02-11,8.0264
2021-02-12,8.0264
2021-02-13,8.0264
2021-02-14,8.0264
2021-02-15,8.0264
2021-02-16,8.0264
2021-02-17,8.0264
2021-02-18,8.0264
2021-02-19,8.0264
2021-02-20,8.0264
2021-02-21,8.0264
2021-02-22,8.0264
2021-02-23,8.0264
2021-02-24,8.0264
2021-02-25,8.0264
2021-02-26,8.0264
2021-02-27,8.0264
2021-02-28,8.0264
2021-03-01,8.0264
2021-03-02,8.0264
2021-03-03,8.0264
2021-03-04,8.0264
2021-03-05,8.0264
2021-03-06,8.0264
2021-03-07,8.0264
2021-03-08,8.0264
2021-03-09,8.0264
2021-03-10,8.0264
2021-03-11,8.0264
2021-03-12,8.0264
2021-03-13,8.0264
2021-03-14,8.0264
2021-03-15,8.0264
2021-03-16,8.0264
2021-03-17,8.0264
2021-03-18,8.0264
2021-03-19,8.0264
2021-03-20,8.0264
2021-03-21,8.0264
2021-03-22,8.0264
2021-03-23,8.0264
2021-03-24,8.0264
2021-03-25,8.0264
2021-03-26,8.0264
2021-03-27,8.0264
2021-03-28,8.0264
2021-03-29,8.0264
2021-03-30,8.0264
2021-03-31,7.465
2021-04-01,7.465
2021-04-02,7.465
2021-04-03,7.465
2021-04-04,7.465
2021-04-05,7.465
2021-04-06,7.465
2021-04-07,7.465
2021-04-08,7.465
2021-04-09,7.465
2021-04-10,7.465
2021-04-11,7.465
2021-04-12,7.465
2021-04-13,7.465
2021-04-14,7.465
2021-04-15,7.465
2021-04-16,7.465
2021-04-17,7.465
2021-04-18,7.465
2021-04-19,7.465
2021-04-20,7.465
2021-04-21,7.465
2021-04-22,7.465
2021-04-23,7.465
2021-04-24,7.465
2021-04-25,7.465
2021-04-26,7.465
2021-04-27,7.465
2021-04-28,7.465
2021-04-29,7.465
2021-04-30,7.465
2021-05-01,7.465
2021-05-02,7.465
2021-05-03,7.465
2021-05-04,7.465
2021-05-05,7.465
2021-05-06,7.465
2021-05-07,7.465
2021-05-08,7.465
2021-05-09,7.465
2021-05-10,7.465
2021-05-11,7.465
2021-05-12,7.465
2021-05-13,7.465
2021-05-14,7.465
2021-05-15,7.465
2021-05-16,7.465
2021-05-17,7.465
2021-05-18,7.465
2021-05-19,7.465
2021-05-20,7.465
2021-05-21,7.465
2021-05-22,7.465
2021-05-23,7.465
2021-05-24,7.465
2021-05-25,7.465
2021-05-26,7.465
2021-05-27,7.465
2021-05-28,7.465
2021-05-29,7.465
2021-05-30,7.465
2021-05-31,7.465
2021-06-01,7.465
2021-06-02,7.465
2021-06-03,7.465
2021-06-04,7.465
2021-06-05,7.465
2021-06-06,7.465
2021-06-07,7.465
2021-06-08,7.465
2021-06-09,7.465
2021-06-10,7.465
2021-06-11,7.465
2021-06-12,7.465
2021-06-13,7.465
2021-06-14,7.465
2021-06-15,7.465
2021-06-16,7.465
2021-06-17,7.465
2021-06-18,7.465
2021-06-19,7.465
2021-06-20,7.465
2021-06-21,7.465
2021-06-22,7.465
2021-06-23,7.465
2021-06-24,7.465
2021-06-25,7.465
2021-06-26,7.465
2021-06-27,7.465
2021-06-28,7.465
2021-06-29,7.465
2021-06-30,5.5996
2021-07-01,5.5996
2021-07-02,5.5996
2021-07-03,5.5996
2021-07-04,5.5996
2021-07-05,5.5996
2021-07-06,5.5996
2021-07-07,5.5996
2021-07-08,5.5996
2021-07-09,5.5996
2021-07-10,5.5996
2021-07-11,5.5996
2021-07-12,5.5996
2021-07-13,5.5996
2021-07-14,5.5996
2021-07-15,5.5996
2021-07-16,5.5996
2021-07-17,5.5996
2021-07-18,5.5996
2021-07-19,5.5996
2021-07-20,5.5996
2021-07-21,5.5996
2021-07-22,5.5996
2021-07-23,5.5996
2021-07-24,5.5996
2021-07-25,5.5996
2021-07-26,5.5996
2021-07-27,5.5996
2021-07-28,5.5996
2021-07-29,5.5996
2021-07-30,5.5996
2021-07-31,5.5996
2021-08-01,5.5996
2021-08-02,5.5996
2021-08-03,5.5996
2021-08-04,5.5996
2021-08-05,5.5996
2021-08-06,5.5996
2021-08-07,5.5996
2021-08-08,5.5996
2021-08-09,5.5996
2021-08-10,5.5996
2021-08-11,5.5996
2021-08-12,5.5996
2021-08-13,5.5996
2021-08-14,5.5996
2021-08-15,5.5996
2021-08-16,5.5996
2021-08-17,5.5996
2021-08-18,5.5996
2021-08-19,5.5996
2021-08-20,5.5996
2021-08-21,5.5996
2021-08-22,5.5996
2021-08-23,5.5996
2021-08-24,5.5996
2021-08-25,5.5996
2021-08-26,5.5996
2021-08-27,5.5996
2021-08-28,5.5996
2021-08-29,5.5996
2021-08-30,5.5996
2021-08-31,5.5996
2021-09-01,5.5996
2021-09-02,5.5996
2021-09-03,5.5996
2021-09-04,5.5996
2021-09-05,5.5996
2021-09-06,5.5996
2021-09-07,5.5996
2021-09-08,5.5996
2021-09-09,5.5996
2021-09-10,5.5996
2021-09-11,5.5996
2021-09-12,5.5996
2021-09-13,5.5996
2021-09-14,5.5996
2021-09-15,5.5996
2021-09-16,5.5996
2021-09-17,5.5996
2021-09-18,5.5996
2021-09-19,5.5996
2021-09-20,5.5996
2021-09-21,5.5996
2021-09-22,5.5996
2021-09-23,5.5996
2021-09-24,5.5996
2021-09-25,5.5996
2021-09-26,5.5996
2021-09-27,5.5996
2021-09-28,5.5996
2021-09-29,5.5996
2021-09-30,5.114
2021-10-01,5.114
2021-10-02,5.114
2021-10-03,5.114
2021-10-04,5.114
2021-10-05,5.114
2021-10-06,5.114
2021-10-07,5.114
2021-10-08,5.114
2021-10-09,5.114
2021-10-10,5.114
2021-10-11,5.114
2021-10-12,5.114
2021-10-13,5.114
2021-10-14,5.114
2021-10-15,5.114
2021-10-16,5.114
2021-10-17,5.114
2021-10-18,5.114
2021-10-19,5.114
2021-10-20,5.114
2021-10-21,5.114
2021-10-22,5.114
2021-10-23,5.114
2021-10-24,5.114
2021-10-25,5.114
2021-10-26,5.114
2021-10-27,5.114
2021-10-28,5.114
2021-10-29,5.114
2021-10-30,5.114
2021-10-31,5.114
2021-11-01,5.114
2021-11-02,5.114
2021-11-03,5.114
2021-11-04,5.114
2021-11-05,5.114
2021-11-06,5.114
2021-11-07,5.114
2021-11-08,5.114
2021-11-09,5.114
2021-11-10,5.114
2021-11-11,5.114
2021-11-12,5.114
2021-11-13,5.114
2021-11-14,5.114
2021-11-15,5.114
2021-11-16,5.114
2021-11-17,5.114
2021-11-18,5.114
2021-11-19,5.114
2021-11-20,5.114
2021-11-21,5.114
2021-11-22,5.114
2021-11-23,5.114
2021-11-24,5.114
2021-11-25,5.114
2021-11-26,5.114
2021-11-27,5.114
2021-11-28,5.114
2021-11-29,5.114
2021-11-30,5.114
2021-12-01,5.114
2021-12-02,5.114
2021-12-03,5.114
2021-12-04,5.114
2021-12-05,5.114
2021-12-06,5.114
2021-12-07,5.114
2021-12-08,5.114
2021-12-09,5.114
2021-12-10,5.114
2021-12-11,5.114
2021-12-12,5.114
2021-12-13,5.114
2021-12-14,5.114
2021-12-15,5.114
2021-12-16,5.114
2021-12-17,5.114
2021-12-18,5.114
2021-12-19,5.114
2021-12-20,5.114
2021-12-21,5.114
2021-12-22,5.114
2021-12-23,5.114
2021-12-24,5.114
2021-12-25,5.114
2021-12-26,5.114
2021-12-27,5.114
2021-12-28,5.114
2021-12-29,5.114
2021-12-30,5.114
2021-12-31,7.1971
2022-01-01,7.1971
2022-01-02,7.1971
2022-01-03,7.1971
2022-01-04,7.1971
2022-01-05,7.1971
2022-01-06,7.1971
2022-01-07,7.1971
2022-01-08,7.1971
2022-01-09,7.1971
2022-01-10,7.1971
2022-01-11,7.1971
2022-01-12,7.1971
2022-01-13,7.1971
2022-01-14,7.1971
2022-01-15,7.1971
2022-01-16,7.1971
2022-01-17,7.1971
2022-01-18,7.1971
2022-01-19,7.1971
2022-01-20,7.1971
2022-01-21,7.1971
2022-01-22,7.1971
2022-01-23,7.1971
2022-01-24,7.1971
2022-01-25,7.1971
2022-01-26,7.1971
2022-01-27,7.1971
2022-01-28,7.1971
2022-01-29,7.1971
2022-01-30,7.1971
2022-01-31,7.1971
2022-02-01,7.1971
2022-02-02,7.1971
2022-02-03,7.1971
2022-02-04,7.1971
2022-02-05,7.1971
2022-02-06,7.1971
2022-02-07,7.1971
2022-02-08,7.1971
2022-02-09,7.1971
2022-02-10,7.1971
2022-02-11,7.1971
2022-02-12,7.1971
2022-02-13,7.1971
2022-02-14,7.1971
2022-02-15,7.1971
2022-02-16,7.1971
2022-02-17,7.1971
2022-02-18,7.1971
2022-02-19,7.1971
2022-02-20,7.1971
2022-02-21,7.1971
2022-02-22,7.1971
2022-02-23,7.1971
2022-02-24,7.1971
2022-02-25,7.1971
2022-02-26,7.1971
2022-02-27,7.1971
2022-02-28,7.1971
2022-03-01,7.1971
2022-03-02,7.1971
2022-03-03,7.1971
2022-03-04,7.1971
2022-03-05,7.1971
2022-03-06,7.1971
2022-03-07,7.1971
2022-03-08,7.1971
2022-03-09,7.1971
2022-03-10,7.1971
2022-03-11,7.1971
2022-03-12,7.1971
2022-03-13,7.1971
2022-03-14,7.1971
2022-03-15,7.1971
2022-03-16,7.1971
2022-03-17,7.1971
2022-03-18,7.1971
2022-03-19,7.1971
2022-03-20,7.1971
2022-03-21,7.1971
2022-03-22,7.1971
2022-03-23,7.1971
2022-03-24,7.1971
2022-03-25,7.1971
2022-03-26,7.1971
2022-03-27,7.1971
2022-03-28,7.1971
2022-03-29,7.1971
2022-03-30,7.1971
2022-03-31,9.0728
2022-04-01,9.0728
2022-04-02,9.0728
2022-04-03,9.0728
2022-04-04,9.0728
2022-04-05,9.0728
2022-04-06,9.0728
2022-04-07,9.0728
2022-04-08,9.0728
2022-04-09,9.0728
2022-04-10,9.0728
2022-04-11,9.0728
2022-04-12,9.0728
2022-04-13,9.0728
2022-04-14,9.0728
2022-04-15,9.0728
2022-04-16,9.0728
2022-04-17,9.0728
2022-04-18,9.0728
2022-04-19,9.0728
2022-04-20,9.0728
2022-04-21,9.0728
2022-04-22,9.0728
2022-04-23,9.0728
2022-04-24,9.0728
2022-04-25,9.0728
2022-04-26,9.0728
2022-04-27,9.0728
2022-04-28,9.0728
2022-04-29,9.0728
2022-04-30,9.0728
2022-05-01,9.0728
2022-05-02,9.0728
2022-05-03,9.0728
2022-05-04,9.0728
2022-05-05,9.0728
2022-05-06,9.0728
2022-05-07,9.0728
2022-05-08,9.0728
2022-05-09,9.0728
2022-05-10,9.0728
2022-05-11,9.0728
2022-05-12,9.0728
2022-05-13,9.0728
2022-05-14,9.0728
2022-05-15,9.0728
2022-05-16,9.0728
2022-05-17,9.0728
2022-05-18,9.0728
2022-05-19,9.0728
2022-05-20,9.0728
2022-05-21,9.0728
2022-05-22,9.0728
2022-05-23,9.0728
2022-05-24,9.0728
2022-05-25,9.0728
2022-05-26,9.0728
2022-05-27,9.0728
2022-05-28,9.0728
2022-05-29,9.0728
2022-05-30,9.0728
2022-05-31,9.0728
2022-06-01,9.0728
2022-06-02,9.0728
2022-06-03,9.0728
2022-06-04,9.0728
2022-06-05,9.0728
2022-06-06,9.0728
2022-06-07,9.0728
2022-06-08,9.0728
2022-06-09,9.0728
2022-06-10,9.0728
2022-06-11,9.0728
2022-06-12,9.0728
2022-06-13,9.0728
2022-06-14,9.0728
2022-06-15,9.0728
2022-06-16,9.0728
2022-06-17,9.0728
2022-06-18,9.0728
2022-06-19,9.0728
2022-06-20,9.0728
2022-06-21,9.0728
2022-06-22,9.0728
2022-06-23,9.0728
2022-06-24,9.0728
2022-06-25,9.0728
2022-06-26,9.0728
2022-06-27,9.0728
2022-06-28,9.0728
2022-06-29,9.0728
2022-06-30,9.0819
2022-07-01,9.0819
2022-07-02,9.0819
2022-07-03,9.0819
2022-07-04,9.0819
2022-07-05,9.0819
2022-07-06,9.0819
2022-07-07,9.0819
2022-07-08,9.0819
2022-07-09,9.0819
2022-07-10,9.0819
2022-07-11,9.0819
2022-07-12,9.0819
2022-07-13,9.0819
2022-07-14,9.0819
2022-07-15,9.0819
2022-07-16,9.0819
2022-07-17,9.0819
2022-07-18,9.0819
2022-07-19,9.0819
2022-07-20,9.0819
2022-07-21,9.0819
2022-07-22,9.0819
2022-07-23,9.0819
2022-07-24,9.0819
2022-07-25,9.0819
2022-07-26,9.0819
2022-07-27,9.0819
2022-07-28,9.0819
2022-07-29,9.0819
2022-07-30,9.0819
2022-07-31,9.0819
2022-08-01,9.0819
2022-08-02,9.0819
2022-08-03,9.0819
2022-08-04,9.0819
2022-08-05,9.0819
2022-08-06,9.0819
2022-08-07,9.0819
2022-08-08,9.0819
2022-08-09,9.0819
2022-08-10,9.0819
2022-08-11,9.0819
2022-08-12,9.0819
2022-08-13,9.0819
2022-08-14,9.0819
2022-08-15,9.0819
2022-08-16,9.0819
2022-08-17,9.0819
2022-08-18,9.0819
2022-08-19,9.0819
2022-08-20,9.0819
2022-08-21,9.0819
2022-08-22,9.0819
2022-08-23,9.0819
2022-08-24,9.0819
2022-08-25,9.0819
2022-08-26,9.0819
2022-08-27,9.0819
2022-08-28,9.0819
2022-08-29,9.0819
2022-08-30,9.0819
2022-08-31,9.0819
2022-09-01,9.0819
2022-09-02,9.0819
2022-09-03,9.0819
2022-09-04,9.0819
2022-09-05,9.0819
2022-09-06,9.0819
2022-09-07,9.0819
2022-09-08,9.0819
2022-09-09,9.0819
2022-09-10,9.0819
2022-09-11,9.0819
2022-09-12,9.0819
2022-09-13,9.0819
2022-09-14,9.0819
2022-09-15,9.0819
2022-09-16,9.0819
2022-09-17,9.0819
2022-09-18,9.0819
2022-09-19,9.0819
2022-09-20,9.0819
2022-09-21,9.0819
2022-09-22,9.0819
2022-09-23,9.0819
2022-09-24,9.0819
2022-09-25,9.0819
2022-09-26,9.0819
2022-09-27,9.0819
2022-09-28,9.0819
2022-09-29,9.0819
2022-09-30,8.6026
2022-10-01,8.6026
2022-10-02,8.6026
2022-10-03,8.6026
2022-10-04,8.6026
2022-10-05,8.6026
2022-10-06,8.6026
2022-10-07,8.6026
2022-10-08,8.6026
2022-10-09,8.6026
2022-10-10,8.6026
2022-10-11,8.6026
2022-10-12,8.6026
2022-10-13,8.6026
2022-10-14,8.6026
2022-10-15,8.6026
2022-10-16,8.6026
2022-10-17,8.6026
2022-10-18,8.6026
2022-10-19,8.6026
2022-10-20,8.6026
2022-10-21,8.6026
2022-10-22,8.6026
2022-10-23,8.6026
2022-10-24,8.6026
2022-10-25,8.6026
2022-10-26,8.6026
2022-10-27,8.6026
2022-10-28,8.6026
2022-10-29,8.6026
2022-10-30,8.6026
2022-10-31,8.6026
2022-11-01,8.6026
2022-11-02,8.6026
2022-11-03,8.6026
2022-11-04,8.6026
2022-11-05,8.6026
2022-11-06,8.6026
2022-11-07,8.6026
2022-11-08,8.6026
2022-11-09,8.6026
2022-11-10,8.6026
2022-11-11,8.6026
2022-11-12,8.6026
2022-11-13,8.6026
2022-11-14,8.6026
2022-11-15,8.6026
2022-11-16,8.6026
2022-11-17,8.6026
2022-11-18,8.6026
2022-11-19,8.6026
2022-11-20,8.6026
2022-11-21,8.6026
2022-11-22,8.6026
2022-11-23,8.6026
2022-11-24,8.6026
2022-11-25,8.6026
2022-11-26,8.6026
2022-11-27,8.6026
2022-11-28,8.6026
2022-11-29,8.6026
2022-11-30,8.6026
2022-12-01,8.6026
2022-12-02,8.6026
2022-12-03,8.6026
2022-12-04,8.6026
2022-12-05,8.6026
2022-12-06,8.6026
2022-12-07,8.6026
2022-12-08,8.6026
2022-12-09,8.6026
2022-12-10,8.6026
2022-12-11,8.6026
2022-12-12,8.6026
2022-12-13,8.6026
2022-12-14,8.6026
2022-12-15,8.6026
2022-12-16,8.6026
2022-12-17,8.6026
2022-12-18,8.6026
2022-12-19,8.6026
2022-12-20,8.6026
2022-12-21,8.6026
2022-12-22,8.6026
2022-12-23,8.6026
2022-12-24,8.6026
2022-12-25,8.6026
2022-12-26,8.6026
2022-12-27,8.6026
2022-12-28,8.6026
2022-12-29,8.6026
2022-12-30,8.6026
2022-12-31,7.701
2023-01-01,7.701
2023-01-02,7.701
2023-01-03,7.701
2023-01-04,7.701
2023-01-05,7.701
2023-01-06,7.701
2023-01-07,7.701
2023-01-08,7.701
2023-01-09,7.701
2023-01-10,7.701
2023-01-11,7.701
2023-01-12,7.701
2023-01-13,7.701
2023-01-14,7.701
2023-01-15,7.701
2023-01-16,7.701
2023-01-17,7.701
2023-01-18,7.701
2023-01-19,7.701
2023-01-20,7.701
2023-01-21,7.701
2023-01-22,7.701
2023-01-23,7.701
2023-01-24,7.701
2023-01-25,7.701
2023-01-26,7.701
2023-01-27,7.701
2023-01-28,7.701
2023-01-29,7.701
2023-01-30,7.701
2023-01-31,7.701
2023-02-01,7.701
2023-02-02,7.701
2023-02-03,7.701
2023-02-04,7.701
2023-02-05,7.701
2023-02-06,7.701
2023-02-07,7.701
2023-02-08,7.701
2023-02-09,7.701
2023-02-10,7.701
2023-02-11,7.701
2023-02-12,7.701
2023-02-13,7.701
2023-02-14,7.701
2023-02-15,7.701
2023-02-16,7.701
2023-02-17,7.701
2023-02-18,7.701
2023-02-19,7.701
2023-02-20,7.701
2023-02-21,7.701
2023-02-22,7.701
2023-02-23,7.701
2023-02-24,7.701
2023-02-25,7.701
2023-02-26,7.701
2023-02-27,7.701
2023-02-28,7.701
2023-03-01,7.701
2023-03-02,7.701
2023-03-03,7.701
2023-03-04,7.701
2023-03-05,7.701
2023-03-06,7.701
2023-03-07,7.701
2023-03-08,7.701
2023-03-09,7.701
2023-03-10,7.701
2023-03-11,7.701
2023-03-12,7.701
2023-03-13,7.701
2023-03-14,7.701
2023-03-15,7.701
2023-03-16,7.701
2023-03-17,7.701
2023-03-18,7.701
2023-03-19,7.701
2023-03-20,7.701
2023-03-21,7.701
2023-03-22,7.701
2023-03-23,7.701
2023-03-24,7.701
2023-03-25,7.701
2023-03-26,7.701
2023-03-27,7.701
2023-03-28,7.701
2023-03-29,7.701
2023-03-30,7.701
2023-03-31,7.5679
